Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  18:00:00,466432797.5763722,466432797.5763722,120025441.17307365,224813060.55296675 
 07/21  19:00:00,468874653.9641346,468874653.9641346,122515297.56083551,224813060.55296675 
 07/21  20:00:00,496551810.21378317,496551810.2137832,146697555.81048496,224813060.55296675 
 07/21  21:00:00,509913347.15757277,509913347.15757277,152517470.7542746,224813060.55296675 
 07/21  22:00:00,509913347.15757277,509913347.15757277,152517470.7542746,224813060.55296675 
 07/21  23:00:00,509913347.15757277,509913347.15757277,152517470.7542746,224813060.55296675 
 07/21  24:00:00,518020488.12782886,518020488.12782886,152517470.7542746,224813060.55296675 
 07/01  01:00:00,66052599.94927119,66052599.94927119,7625873.53771374,44533202.00181081 
 07/01  02:00:00,74332401.38109155,74332401.38109155,7625873.53771374,44533202.00181081 
 07/01  03:00:00,73814913.79160276,73814913.79160276,7625873.53771374,44533202.00181081 
 07/01  04:00:00,74849888.97058028,74849888.97058028,7625873.53771374,44533202.00181081 
 07/01  05:00:00,79507277.27597925,79507277.27597925,7625873.53771374,44533202.00181081 
 07/01  06:00:00,85278398.79831031,85278398.79831033,14835019.70208967,44533202.00181081 
 07/01  07:00:00,104061837.12025188,104061837.12025188,10806640.641844433,55180531.87831209 
 07/01  08:00:00,266157797.4914322,266157797.491432,31270023.132256438,95796493.41677362 
 07/01  09:00:00,438029378.01016077,438029378.01016077,93124323.85391505,204227663.7591696 
 07/01  10:00:00,392806996.8056869,392806996.8056869,93124323.85391505,174055806.61631225 
 07/01  11:00:00,381763690.05682238,381763690.05682238,93124323.85391505,167093070.3525762 
 07/01  12:00:00,388726426.32055887,388726426.32055887,93124323.85391505,174055806.61631225 
 07/01  13:00:00,392480553.7026286,392480553.70262977,93124323.85391505,177667514.30607493 
 07/01  14:00:00,394540706.5403393,394540706.5403393,93124323.85391505,179858086.83609239 
 07/01  15:00:00,381763690.05682238,381763690.05682238,93124323.85391505,167093070.3525762 
 07/01  16:00:00,381773357.5707994,381773357.5707994,93133991.36789204,167093070.3525762 
 07/01  17:00:00,393388040.5959858,393388040.5959858,94304569.99747429,177537174.74818046 
 07/01  18:00:00,318789799.27613708,318789799.27613708,52897696.51907077,140923939.57316477 
 07/01  19:00:00,242849905.87763603,242849905.87763603,33000511.074774714,69106004.40578471 
 07/01  20:00:00,242600670.24348632,242600670.24348632,38899677.792273219,59822356.054136309 
 07/01  21:00:00,238836210.3469455,238836210.3469455,26303943.895732464,59822356.054136309 
 07/01  22:00:00,118392772.57065498,118392772.57065498,26303943.895732464,55180531.87831209 
 07/01  23:00:00,114917688.42627368,114917688.42627372,13151971.947866232,55180531.87831209 
 07/01  24:00:00,93720049.94665514,93720049.94665514,6575985.973933116,55180531.87831209 
 07/02  01:00:00,66052599.94927119,66052599.94927119,7625873.53771374,44533202.00181081 
 07/02  02:00:00,73814913.79160279,73814913.79160279,7625873.53771374,44533202.00181081 
 07/02  03:00:00,73297426.20211399,73297426.20211399,7625873.53771374,44533202.00181081 
 07/02  04:00:00,74332401.3810915,74332401.3810915,7625873.53771374,44533202.00181081 
 07/02  05:00:00,77954814.50751294,77954814.50751294,7625873.53771374,44533202.00181081 
 07/02  06:00:00,80490250.27676036,80490250.27676036,15251747.07542748,44533202.00181081 
 07/02  07:00:00,101950569.94892279,101950569.94892279,12100348.64949286,55180531.87831209 
 07/02  08:00:00,265908358.82255198,265908358.82255198,31140584.46337594,95796493.41677362 
 07/02  09:00:00,438011378.01016077,438011378.01016077,93124323.85391505,204227663.7591696 
 07/02  10:00:00,407623520.86730369,407623520.86730369,93124323.85391505,174055806.61631225 
 07/02  11:00:00,400636784.6035683,400636784.6035683,93124323.85391505,167093070.3525762 
 07/02  12:00:00,402848247.23061749,402848247.23061749,93124323.85391505,174055806.61631225 
 07/02  13:00:00,406519954.92038,406519954.92038056,93124323.85391505,177667514.30607493 
 07/02  14:00:00,394534706.5403393,394534706.5403393,93124323.85391505,179858086.83609239 
 07/02  15:00:00,381763690.05682238,381763690.05682238,93124323.85391505,167093070.3525762 
 07/02  16:00:00,381763690.05682238,381763690.05682238,93124323.85391505,167093070.3525762 
 07/02  17:00:00,392207794.4524274,392207794.4524275,93124323.85391505,177537174.74818046 
 07/02  18:00:00,314327398.0006396,314327398.0006397,51749162.5771431,140923939.57316477 
 07/02  19:00:00,225038618.30098165,225038618.3009816,31563153.862853268,69106004.40578471 
 07/02  20:00:00,240108642.60576929,240108642.60576926,37421650.15455603,59822356.054136309 
 07/02  21:00:00,237882210.3469455,237882210.3469455,26303943.895732464,59822356.054136309 
 07/02  22:00:00,126264623.64452024,126264623.64452024,26303943.895732464,55180531.87831209 
 07/02  23:00:00,116105688.42627368,116105688.4262737,13151971.947866232,55180531.87831209 
 07/02  24:00:00,98894925.84154283,98894925.84154283,6575985.973933116,55180531.87831209 
