Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 1 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change State 3 [](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 3 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 10 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 15 [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  16:00:00,-6.300000000000007,20.51999999999999,0.0,20.510524010870765,20.278884241346256,19.263714105827068,16.021565136280846,0.0,0.07168445653333335,0.012088665404617829,0.05959579112871551,30.03717762515115,28.62931253290197,40.82895449228627,12.928730742575672,12.928730742575672 
 01/21  17:00:00,-6.300000000000007,20.51999999999999,0.0,20.510537180549919,20.279466827139339,19.26553351748993,16.02090523122481,0.0,0.08960557066666668,0.015121085660380172,0.0744844850062865,30.049017637024808,28.288024890258059,40.829387432126107,12.928730742575672,12.928730742575672 
 01/21  18:00:00,-6.300000000000007,20.51999999999999,0.0,20.510551880948048,20.27950607115033,19.266521257195639,16.021929657205417,0.0,0.07168445653333335,0.012093615487709183,0.059590841045624159,30.042752531272009,28.634370591080225,40.82977615135549,12.928730742575672,12.928730742575672 
 01/21  19:00:00,-6.300000000000007,20.51999999999999,0.0,20.510607847545307,20.30492507597825,19.56380430643084,16.007114477593708,0.0,0.20609281253333326,0.03384581150615764,0.1722470010271757,30.102902439157267,26.19205067870105,40.818249416039957,12.928730742575672,12.928730742575672 
 01/21  20:00:00,-6.300000000000007,20.51999999999999,0.0,20.511400408545116,20.358444665004883,19.743042189653115,16.011081343933435,0.0,0.17025058426666665,0.027746393938334784,0.1425041903283319,30.07742214449398,26.870510117464837,40.8101449410855,12.928730742575672,12.928730742575672 
 01/21  21:00:00,-6.300000000000007,20.51999999999999,0.0,20.512573421775117,20.36796591153778,19.74531049129401,16.010389829710375,0.0,0.1612900272,0.02629561241524125,0.1349944147847587,30.06943827770938,27.02928632663843,40.807907641090327,12.928730742575672,12.928730742575672 
 01/21  22:00:00,-6.300000000000007,20.51999999999999,0.0,20.51330769343518,20.36832126035178,19.736432263847609,16.01059663755496,0.0,0.1433689130666667,0.023430114288085635,0.11993879877858106,30.07940273968086,27.36994245125273,40.806585804947179,12.928730742575672,12.928730742575672 
 01/21  23:00:00,-6.300000000000007,20.51999999999999,0.0,20.513681323559607,20.368385231398006,19.73332011618317,16.012202661059584,0.0,0.15232947013333335,0.024833860272948147,0.1274956098603852,30.068847798974639,27.19784369811281,40.80559106842716,12.928730742575672,12.928730742575672 
 01/21  24:00:00,-6.300000000000007,20.51999999999999,0.0,20.51386762730988,20.368081934286367,19.727996856186395,16.00988804791347,0.0,0.1612900272,0.026349189982362337,0.13494083721763765,30.077337528794524,27.030457639200426,40.80474983264396,12.928730742575672,12.928730742575672 
 07/21  01:00:00,26.32025,23.450000000000029,0.0,23.37975067355394,21.663645753559157,14.151506049006596,20.475808309187099,9340.755471835111,0.5467642243600003,0.3163311380031315,0.23043308635686844,9.934446728781076,14.010639366068953,28.994686277577967,6.8834496140372709,11.006772148748813 
