Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORE_TOP:Zone Total Internal Total Heating Rate [W](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),CORE_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI4_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),HP_RADSYS:Heat Pump Electric Power [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electric Power [W](Hourly) 
 06/17  02:00:00,19.399999999999996,2780.82959564914,20.826175432525845,20.697525950724314,20.677756160638649,20.70634692218372,20.800853836581095,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  03:00:00,19.137499999999997,2780.82959564914,20.811661420644144,20.632677984996584,20.613282106876587,20.647635249308388,20.738811601538197,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  04:00:00,18.585,2780.82959564914,20.796288604651257,20.564236446732929,20.54490597686937,20.57116402627022,20.652450690634767,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  05:00:00,18.0375,2780.82959564914,20.778211244165229,20.511856616314107,20.549282148582735,20.48810572817712,20.56234303793282,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  06:00:00,18.062500000000005,3119.6039812842798,20.820199016270359,20.6772484638844,21.361341314557519,20.570345530130277,20.6381906322826,0.0,0.0,50.65499999999999,0.0,0.0,0.0,0.0 
 06/17  07:00:00,18.614999999999996,4245.451607531919,20.13926992064048,20.28212968726735,22.201500425739668,20.250545819710835,20.140418407324668,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/17  08:00:00,20.055000000000005,6049.250893545528,20.064412292958776,20.51405515087044,22.878118706847834,20.446841456891215,20.24499863317846,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/17  09:00:00,21.415,18101.736647504957,21.03286079851533,21.443512478315044,23.760059670534653,21.48654675153191,21.15732276708511,139.98853000000003,68.91142500000002,67.53999999999999,63.71491499999998,56.0,0.0,0.0 
 06/17  10:00:00,23.1175,18101.736647504957,21.456614281601828,21.870537884447523,23.829359371355769,21.951744179755076,21.540792237112279,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  11:00:00,25.607499999999999,18265.019990212222,21.51718838313288,22.12931119524918,23.19367160273205,22.233907558058346,21.79540089984576,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  12:00:00,26.9625,18101.736647504957,21.5842028876756,22.29742987703487,22.937300669726768,22.5039451470505,21.976505388796605,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  13:00:00,27.514999999999995,14572.507325244462,21.396281917618074,22.189193419212449,22.594483454716813,22.5187603419189,21.925283039424629,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  14:00:00,27.485000000000008,18101.736647504957,21.61183729844165,22.398754358375624,22.62913484484185,22.732107968838503,22.23986401228469,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  15:00:00,26.9375,18265.019990212222,21.73205437084564,22.468035136376018,22.579975591471788,22.814506779070649,23.386507003557264,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  16:00:00,26.699999999999997,18101.736647504957,21.75815206273537,22.453043370144394,22.466981686384906,22.804670128555079,23.99813946917589,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  17:00:00,26.385,18101.736647504957,21.74652493093505,22.397443798820519,22.291630914516543,22.61590281724676,23.998246787328186,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  18:00:00,24.945,8609.530172617446,21.090839274888503,21.732368939853555,21.59316292315511,21.910282067868115,23.998674775156795,152.71476,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  19:00:00,23.322499999999999,5413.9869089617409,20.69549025363286,21.307347851738734,21.029218365778907,21.300297258695666,23.573036632900025,0.0,76.56825000000002,33.769999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  20:00:00,21.645,5413.9869089617409,20.49404732481069,20.964319315430545,20.77555988202294,20.881425529735659,21.988322923491969,0.0,11.4852375,0.0,35.397175,80.0,0.0,0.0 
 06/17  21:00:00,20.285000000000005,4829.719258246828,20.31421507581599,20.57431535242483,20.530428122050325,20.613175165132235,20.960921107377695,0.0,0.0,0.0,0.0,32.0,0.0,0.0 
