Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),CORE_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),CORE_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),CORE_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI4_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI1_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI3_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI4_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI1_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI3_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI4_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call) 
 06/02  10:47:00,24.053333333333336,23.9999978806283,23.999976971554945,12.486646557411316,14.990306942467156,14.934053161286203,0.0,3848.2161266668724,12.609972354980516,0.0,3303.0372647301899,12.431976765780013,13.728349647149912,13.893929107422958,12.444038463868198,12.430827960652458,14.001891196807338,14.062875682853309,12.43661397045221,12.422984331664026,13.24931996492693,13.564409977669172 
 06/02  10:48:00,24.08,23.999996634536,23.999976903581805,12.48664720885692,14.990306942467156,14.934053161286203,0.0,3848.2158745077415,12.609972748548595,0.0,3303.0331436488729,12.431980184925193,13.721963410194637,13.888562496798935,12.444039143732473,12.43083131859902,13.99392112425874,14.05595770887121,12.436614343918949,12.422986822561839,13.2431463841501,13.55925577373245 
 06/02  10:49:00,24.106666666666667,23.999995390511786,23.999976832850945,12.48664786428661,14.990306942467156,14.934053161286203,0.0,3848.215612926402,12.609973148206253,0.0,3303.029027755984,12.43198360060636,13.71564057688391,13.88324809575216,12.444039827041458,12.430834669897534,13.986020230787024,14.049111905605037,12.436614724611955,12.422989301698868,13.23702350961359,13.554135521704474 
 06/02  10:50:00,24.133333333333334,23.999994146792326,23.99997675924685,12.48664852338139,14.990306942467156,14.934053161286203,0.0,3848.2153407325174,12.609973553646619,0.0,3303.024918694061,12.431987010296606,13.709378903571752,13.877984357812676,12.444040513701499,12.430838017462456,13.978186464330035,14.042336765527964,12.436615111909296,12.422991766400538,13.230949486890534,13.549047897233344 
 06/02  10:51:00,24.16,23.99999290390847,23.99997668263276,12.486649186186135,14.990306942467156,14.934053161286203,0.0,3848.2150574815475,12.609973965539357,0.0,3303.020810638757,12.431990418902974,13.703176265682455,13.872769788184728,12.444041204542751,12.430841360758361,13.970417886304443,14.035630826715347,12.43661550667534,12.422994221649433,13.224922567838659,13.543991634536932 
 06/02  10:52:00,24.186666666666665,23.999976870690053,23.999968421942936,12.486649852967254,14.990306942467156,14.934053161286203,0.0,3848.2147626472039,12.609974385473733,0.0,3303.0167053434918,12.431993826682075,13.697030644709134,13.867602936753315,12.444041901291744,12.430844702006193,13.962712658254527,14.028992665415253,12.436615910449007,12.422996654790789,13.218941097014714,13.538965520665915 
 06/02  10:53:00,24.21333333333333,23.9999927281703,23.999978328877686,12.48665052329576,14.990306942467156,14.934053161286203,0.0,3848.1829454435794,12.609993919198326,0.0,3302.9637019839585,12.432034209762798,13.688335857998834,13.85996417290892,12.444067567139836,12.430890427030225,13.952361014539968,14.019824220875068,12.436653737596389,12.423057393380502,13.210180904172543,13.531237140911597 
 06/02  10:54:00,24.240000000000003,23.9999910438116,23.999977910445897,12.486651197147703,14.990306942467156,14.934053161286203,0.0,3848.2210978989498,12.609971021343885,0.0,3303.0161248732649,12.431994865593765,13.678052188744794,13.850779111048775,12.444038911908845,12.430845738769437,13.940362879551909,14.009081669903719,12.43661274856288,12.422997160070036,13.19966858236178,13.521805625130355 
 06/02  10:55:00,24.266666666666667,23.99998942057008,23.999977576418389,12.486651874804283,14.990306942467156,14.934053161286203,0.0,3848.2194876460155,12.609972239227023,0.0,3303.01056136886,12.431999376586765,13.667396409349225,13.841230008645264,12.444040436848253,12.430850146405972,13.927998957573838,13.99799191841987,12.436613766494832,12.42300100272097,13.18876400924579,13.511984524841737 
 06/02  10:56:00,24.293333333333334,23.999987948798215,23.999977330864799,12.486652556182485,14.990306942467156,14.934053161286203,0.0,3848.2182022064559,12.609973260142484,0.0,3303.0051997369566,12.432003734988509,13.656992668158374,13.831927815192206,12.444041765677547,12.430854430891387,13.915921850565518,13.98718524366224,12.436614819256937,12.423005102973525,13.178164004249992,13.502449969256217 
 06/02  10:57:00,24.319999999999998,23.999986571185759,23.9999771419848,12.486653241131182,14.990306942467156,14.934053161286203,0.0,3848.2172572414708,12.609974074089939,0.0,3303.000338415397,12.432007714299788,13.64700894477883,13.823038762985315,12.44404287645619,12.430858339820853,13.904302632238423,13.976830102912418,12.43661564453802,12.423008822113389,13.168049758015826,13.493379319499408 
 06/02  10:58:00,24.346666666666669,23.999985246856558,23.999976983758246,12.486653929757904,14.990306942467156,14.934053161286203,0.0,3848.216530373728,12.609974755937408,0.0,3302.9957431102568,12.43201145854097,13.637424780618277,13.814543390856987,12.44404384181851,12.430862011151595,13.893115064207973,13.966903629475493,12.436616323973679,12.423012295977593,13.158389166159026,13.484742032691651 
 06/02  10:59:00,24.373333333333336,23.999983954495094,23.99997684309497,12.486654621978844,14.990306942467156,14.934053161286203,0.0,3848.2159214697637,12.60997536626792,0.0,3302.9913687978016,12.432015069667946,13.628182578874324,13.806384683492837,12.444044727560503,12.430865547806027,13.882295450619959,13.957345357426485,12.436616924685872,12.423015630570856,13.14910937284521,13.476467002296264 
 06/02  11:00:00,24.4,23.99998268205568,23.99997671241175,12.486655317630815,14.990306942467156,14.934053161286203,0.0,3848.2153801546498,12.609975935151248,0.0,3302.987100076063,12.432018600342444,13.619236764132687,13.798516945349082,12.444045565954207,12.430869002619199,13.871793996971548,13.948107369173343,12.436617480201722,12.423018880068407,13.140152965800008,13.468497704069593 
 06/02  11:01:00,24.4,23.99997833754976,23.99996520742833,12.486655994674323,14.990306942467156,14.934053161286203,0.0,3519.8858719164206,12.809117505181233,0.0,3302.9828971576605,12.432021971559353,13.6105570384048,13.79090946014337,12.444046286206639,12.43087229494201,13.861577726542885,13.939157639425823,12.43661790856537,12.42302195201685,13.13148145070671,13.460796006596082 
 06/02  11:02:00,24.4,23.99979895412999,23.999993605106135,12.486678564255426,14.990306942467156,14.934053161286203,0.0,3519.8453620127754,12.80914214034799,0.0,3302.968547080392,12.432032902679384,13.64137047527665,13.822857696729379,12.446562342213415,12.440377489373408,13.8911514896133,13.969988979992227,12.436673107237536,12.423034454544365,13.16199289339164,13.492404039672016 
 06/02  11:03:00,24.399999999999996,23.99839906846044,23.999995197599448,12.486679073498804,14.990306942467156,14.934053161286203,0.0,3519.945368012226,12.809081492051837,0.0,3302.375613239497,12.43248138652118,13.69376408082119,13.876214364875223,12.450263454383578,12.457658801012793,13.942444621127894,14.022394992225298,12.436599842329919,12.423007204799263,13.213621022288152,13.545021685578976 
 06/02  11:04:00,24.4,23.995328257156947,23.99999602966159,12.486678069435128,14.990306942467156,14.934053161286203,0.0,3519.9509735375324,12.809078097259225,0.0,3297.748417598605,12.435981109921182,13.748569050093291,13.931662962897465,12.45369282100954,12.47924460808997,13.996157587210483,14.076987130202247,12.436584617343023,12.423004274829755,13.267182006588034,13.599290223922571 
 06/02  11:05:00,24.4,23.990663620364154,23.999996352024245,12.486676495410304,14.990306942467156,14.934053161286203,0.0,3519.953944588001,12.809076322482444,0.0,3287.598209242398,12.443658141714739,13.797105278097245,13.98052996473194,12.456192001423874,12.502952669151182,14.043581100268002,14.12506023463511,12.43657066634157,12.423002774562237,13.314112315398708,13.646627691424199 
 06/02  11:06:00,24.400000000000003,23.984678427310198,23.99999639537964,12.486674822534982,14.990306942467156,14.934053161286203,0.0,3519.955079294196,12.809075634940705,0.0,3272.1798517896688,12.455319735132596,13.837853048738414,14.021383745610999,12.457662159189879,12.527860275159086,14.083205640443169,14.165164252733576,12.436558847397956,12.423002626237486,13.353043218159716,13.68574073450894 
 06/02  11:07:00,24.4,23.977644704115787,23.999996265726176,12.486673180332295,14.990306942467156,14.934053161286203,0.0,3519.9552319037986,12.809075542872846,0.0,3252.396686587541,12.470282718461253,13.871918274737686,14.055426662078072,12.458221695193892,12.553662627819615,14.116147497106433,14.198483256876532,12.436548901115494,12.423003252396713,13.385203863549643,13.71795197674793 
 06/02  11:08:00,24.4,23.969774709085546,23.999996027751764,12.486671579655166,14.990306942467156,14.934053161286203,0.0,3519.9547755277587,12.80907581986349,0.0,3229.1480001328288,12.48786702644728,13.900683741323072,14.084113456038012,12.45802058172269,12.58023855744208,14.143791765470175,14.22645442680817,12.436540418138817,12.423004590855435,13.412057182049745,13.744797904307195 
 06/02  11:09:00,24.4,23.96122621207355,23.999995775002689,12.486670007846803,14.990306942467156,14.934053161286203,0.0,3519.953937865466,12.809076328270154,0.0,3203.13542629957,12.507542014022882,13.925154297444239,14.108493603376408,12.457183314494209,12.607483766739986,14.167140994318068,14.250113249293288,12.43653305388735,12.42300635543708,13.434653834507845,13.76737645031881 
 06/02  11:10:00,24.4,23.952120786678298,23.999995442115158,12.486668457447403,14.990306942467156,14.934053161286203,0.0,3519.953048196831,12.809076868241292,0.0,3174.8805880242987,12.528913256552866,13.94599083018829,14.12925323325798,12.4558112687546,12.635280660007146,14.186852589372807,14.270135958176308,12.436526453583092,12.42300809200746,13.453678697685043,13.78640006178688 
 06/02  11:11:00,24.4,23.942557312949469,23.99999506769041,12.486666927697405,14.990306942467156,14.934053161286203,0.0,3519.9518342249787,12.809077579419599,0.0,3144.785326904124,12.551676820041003,13.963670825552045,14.146884432326252,12.453984799548375,12.663513656332177,14.20340167062289,14.287008721836618,12.43652069664358,12.423010126354072,13.469622233335845,13.802375273227256 
 06/02  11:12:00,24.4,23.9326190620694,23.999994664297586,12.486665420505878,14.990306942467156,14.934053161286203,0.0,3519.9505162618954,12.809078379337688,0.0,3113.176552831285,12.575585504363075,13.978587544292646,14.16178923798521,12.451771945479076,12.6920794088964,14.217180321894844,14.301130472828558,12.436515631776113,12.42301227097307,13.48288440935525,13.815711631127425 
 06/02  11:13:00,24.4,23.922377118132549,23.999994240567447,12.48666393787561,14.990306942467156,14.934053161286203,0.0,3519.9490963321106,12.80907924114295,0.0,3080.3295366556769,12.600431131563246,13.99108804530885,14.174319928050098,12.449232960462338,12.720889361296205,14.228535163950566,14.312852185179489,12.436511182318564,12.423014498987918,13.493814814217555,13.826764308206889 
 06/02  11:14:00,24.4,23.911892759756836,23.999993802251369,12.486662481129589,14.990306942467156,14.934053161286203,0.0,3519.9476048156327,12.80908014639669,0.0,3046.4792722173408,12.626035991405374,14.001481881457009,14.184788770671938,12.44642182087988,12.749868086378337,14.237775731042535,14.322486013913944,12.436507283171594,12.42301678882724,13.502722508580666,13.835845165676015 
 06/02  11:15:00,24.4,23.901218600267094,23.999993353211115,12.48666105097554,14.990306942467156,14.934053161286203,0.0,3519.946061957116,12.809081082811718,0.0,3011.82830325933,12.652246887344657,14.010041219664306,14.193468778068303,12.444022491810208,12.778949649050805,14.245174521564892,14.330305700656045,12.43650387856537,12.42301912933549,13.509877024759808,13.843224479034783 
 06/02  11:16:00,24.4,23.890397537748585,23.999992896312475,12.48665964771843,14.990306942467156,14.934053161286203,0.0,3519.9444813498469,12.809082042137789,0.0,2976.5505875567707,12.678932286069012,14.017003465263662,14.20059683124704,12.444004880095348,12.808076356889732,14.250969744504822,14.336549465016346,12.436500920055133,12.423021509565335,13.515511725760753,13.849134859094136 
 06/02  11:17:00,24.4,23.87946950849573,23.999992433504429,12.486658271445095,14.990306942467156,14.934053161286203,0.0,3519.9428730813117,12.809083018252453,0.0,2940.787908982393,12.705984942365286,14.022580519646594,14.206383342418047,12.444004616390734,12.837203128133736,14.25537467708659,14.341429487174193,12.436498364643536,12.423023922229936,13.51983363340659,13.853781528928474 
 06/02  11:18:00,24.4,23.868468187327236,23.999991966355635,12.486656922225798,14.990306942467156,14.934053161286203,0.0,3519.941244011856,12.809084006991928,0.0,2904.672293740424,12.733305015497417,14.026948704902646,14.211002533433849,12.444006367671019,12.866282390885817,14.258567600221454,14.345122033194956,12.436496174416949,12.423026361694353,13.523013789529154,13.857333075942919 
 06/02  11:19:00,24.4,23.857422949911159,23.9999914959635,12.486655599907277,14.990306942467156,14.934053161286203,0.0,3519.939599663106,12.809085005004942,0.0,2868.3149966586008,12.760808318418658,14.03026321331517,14.214607145538304,12.444007672301636,12.895273962765716,14.260705796063002,14.347782034265192,12.436494315141557,12.423028823404265,13.525202017066404,13.859936497569003 
 06/02  11:20:00,24.400000000000003,23.846359552753147,23.999991023143396,12.486654304316957,14.990306942467156,14.934053161286203,0.0,3519.9379438979015,12.809086009947004,0.0,2831.8132051830805,12.78842141195885,14.032658560906896,14.217329076868998,12.444008962480116,12.924141542766238,14.261925569345994,14.349543629313443,12.436492756171493,12.423031303617944,13.52652756939411,13.861718052874985 
 06/02  11:21:00,24.4,23.83530070307535,23.999990548637304,12.48665303522823,14.990306942467156,14.934053161286203,0.0,3519.9362795863219,12.809087020076161,0.0,2795.2519007421835,12.81607990485388,14.034251403086908,14.219282324160436,12.444010245894575,12.952852166611061,14.26234493332893,14.350523038003166,12.436491470347823,12.423033799157656,13.527102071557872,13.862786340791752 
 06/02  11:22:00,24.4,23.824266714294866,23.99999007290387,12.486651792371399,14.990306942467156,14.934053161286203,0.0,3519.934609340122,12.809088033807248,0.0,2758.706253339329,12.843727029048367,14.035142917402052,14.220565451602609,12.4440115249954,12.981375733261324,14.26206604335433,14.350820981245058,12.436490432266123,12.423036307363406,13.527021979337763,13.86323485135708 
 06/02  11:23:00,24.4,23.813275881317496,23.999989596226738,12.48665057544245,14.990306942467156,14.934053161286203,0.0,3519.9329347737204,12.809089050160417,0.0,2722.243320532981,12.871312000999583,14.035420413550299,14.221263260159422,12.444012800246025,13.009684165698556,14.261176903413626,14.35052431716048,12.436489619529845,12.423915364544479,13.52637023251049,13.863143681174467 
 06/02  11:24:00,24.4,23.80234400710808,23.99998911915961,12.486649384102322,14.990306942467156,14.934053161286203,0.0,3519.9312568855218,12.8090900685297,0.0,2685.923581468898,12.898789083443008,14.035159206397627,14.221448700093595,12.444014072178105,13.037751174678802,14.259753319846597,14.349707931318493,12.436489011729368,12.427357888181069,13.525218148275128,13.862581466828376 
 06/02  11:25:00,24.4,23.791485419930316,23.99998864218717,12.486648217981406,14.990306942467156,14.934053161286203,0.0,3519.929577624565,12.80909108773216,0.0,2649.799261173706,12.926118768966547,14.03442622068669,14.221186493722917,12.44401534070259,13.065554023414525,14.25786256096915,14.348438347573764,12.43648859012213,12.43395398665624,13.523629025455368,13.86160900537384 
