Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 06/01  24:00:00,85846957.58844951,85846957.58844951,7625873.53771374,44533202.00181081 
 06/02  01:00:00,65010696.60073939,65010696.60073939,7625873.53771374,44533202.00181081 
 06/02  02:00:00,71987466.29868324,71987466.29868324,7625873.53771374,44533202.00181081 
 06/02  03:00:00,67626985.23746836,67626985.23746836,7625873.53771374,44533202.00181081 
 06/02  04:00:00,66754889.02522535,66754889.02522535,7625873.53771374,44533202.00181081 
 06/02  05:00:00,76566501.15493612,76566501.15493612,14782822.757237615,44533202.00181081 
 06/02  06:00:00,92617721.0312499,92617721.0312499,10750350.8917697,55180531.87831209 
 06/02  07:00:00,159516586.28438054,159516586.28438054,31266404.576764894,95796493.41677362 
 06/02  08:00:00,332968762.4979053,332968762.4979053,93124323.85391505,204227663.7591696 
 06/02  09:00:00,303489384.31161,303489384.31161007,93124323.85391505,174055806.61631225 
 06/02  10:00:00,297497520.5822877,297497520.5822877,93124323.85391505,167093070.3525762 
 06/02  11:00:00,304377145.9154042,304377145.91540428,93124323.85391505,174055806.61631225 
 06/02  12:00:00,307828031.9130355,307828031.91303548,93124323.85391505,177667514.30607493 
 06/02  13:00:00,310705640.49338427,310705640.49338427,93124323.85391505,179858086.83609239 
 06/02  14:00:00,297653733.4169887,297653733.4169887,93124323.85391505,167093070.3525762 
 06/02  15:00:00,297007071.05490407,297007071.05490407,93124323.85391505,167093070.3525762 
 06/02  16:00:00,307827082.0096286,307827082.0096286,93133991.36789204,177537174.74818046 
 06/02  17:00:00,227159360.02881534,227159360.0288153,51977637.00922194,140923939.57316477 
 06/02  18:00:00,133045728.31059562,133045728.31059562,31644304.441210335,69106004.40578471 
 06/02  19:00:00,126069801.13662823,126069801.13662826,34330025.61889131,59822356.054136309 
 06/02  20:00:00,125315520.46834883,125315520.46834883,26150354.950611883,59822356.054136309 
 06/02  21:00:00,115637256.7617545,115637256.7617545,26303943.895732464,55180531.87831209 
 06/02  22:00:00,107019910.19346783,107019910.19346783,13151971.947866232,55180531.87831209 
 06/02  23:00:00,99675924.2195347,99675924.21953468,6575985.973933116,55180531.87831209 
 06/02  24:00:00,85410909.48232803,85410909.48232803,7625873.53771374,44533202.00181081 
