Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  04:00:00,420434752.7829481,420434752.782948,152517470.7542746,224813060.55296675 
 07/21  05:00:00,416718959.9645741,416718959.96457406,151903095.9359005,224813060.55296675 
 07/21  06:00:00,389430254.184567,389430254.184567,128071818.04907707,224813060.55296675 
 07/21  07:00:00,383975077.99740049,383975077.99740049,120497854.10498229,224813060.55296675 
 07/21  08:00:00,387001343.1277929,387001343.12779298,119991185.40467149,224813060.55296675 
 07/21  09:00:00,386935312.7452324,386935312.7452324,119991185.40467149,224813060.55296675 
 07/21  10:00:00,387380499.19866439,387380499.19866439,119991185.40467149,224813060.55296675 
 07/21  11:00:00,387634093.10030218,387634093.10030218,119991185.40467149,224813060.55296675 
 07/21  12:00:00,387469558.5009769,387469558.5009769,119991185.40467149,224813060.55296675 
 07/21  13:00:00,387697496.7660376,387697496.7660376,119991185.40467149,224813060.55296675 
 07/21  14:00:00,388467870.84363618,388467870.84363618,119991185.40467149,224813060.55296675 
 07/21  15:00:00,388863708.3897724,388863708.3897724,119991185.40467149,224813060.55296675 
 07/21  16:00:00,388565175.2769388,388565175.27693876,119991185.40467149,224813060.55296675 
 07/21  17:00:00,387692691.47425779,387692691.47425779,119991185.40467149,224813060.55296675 
 07/21  18:00:00,387255442.7529849,387255442.7529849,120633945.22274417,224813060.55296675 
 07/21  19:00:00,395882846.5998068,395882846.5998068,130861359.31742129,224813060.55296675 
 07/21  20:00:00,424260763.28949388,424260763.28949388,152399856.5668155,224813060.55296675 
 07/21  21:00:00,427391338.29649636,427391338.29649636,152517470.7542746,224813060.55296675 
 07/21  22:00:00,427443773.56619039,427443773.56619027,152517470.7542746,224813060.55296675 
 07/21  23:00:00,423886132.7829481,423886132.782948,152517470.7542746,224813060.55296675 
 07/21  24:00:00,423196132.7829481,423196132.782948,152517470.7542746,224813060.55296675 
 06/01  01:00:00,53877736.10828484,53877736.10828484,7625873.53771374,33399901.50135806 
 06/01  02:00:00,55622064.53597001,55622064.53597001,7625873.53771374,33399901.50135806 
 06/01  03:00:00,55185982.42904872,55185982.42904872,7625873.53771374,33399901.50135806 
 06/01  04:00:00,54749900.322127427,54749900.322127427,7625873.53771374,33399901.50135806 
 06/01  05:00:00,50056888.17464142,50056888.17464142,7591463.283306486,33399901.50135806 
 06/01  06:00:00,45959595.85650233,45959595.85650233,6890626.965167454,33399901.50135806 
 06/01  07:00:00,72447322.41930713,72447322.41930713,5321079.202216842,41385398.908734139 
 06/01  08:00:00,73855658.21360888,73855658.21360895,5177332.889597295,41385398.908734139 
 06/01  09:00:00,74691898.87145132,74691898.87145132,5173573.547439724,41385398.908734139 
 06/01  10:00:00,75657898.87145132,75657898.87145138,5173573.547439724,41385398.908734139 
 06/01  11:00:00,76785898.87145132,76785898.8714515,5173573.547439724,41385398.908734139 
 06/01  12:00:00,77145898.87145132,77145898.87145143,5173573.547439724,41385398.908734139 
 06/01  13:00:00,76689898.87145132,76689898.8714514,5173573.547439724,41385398.908734139 
 06/01  14:00:00,76755898.87145132,76755898.87145132,5173573.547439724,41385398.908734139 
 06/01  15:00:00,76953898.87145132,76953898.87145134,5173573.547439724,41385398.908734139 
 06/01  16:00:00,76869898.87145132,76869898.87145134,5173573.547439724,41385398.908734139 
 06/01  17:00:00,77090358.29742928,77090358.29742928,5184032.973417598,41385398.908734139 
 06/01  18:00:00,77209950.25615894,77209950.25615894,5291624.93214723,41385398.908734139 
 06/01  19:00:00,68531747.14541987,68531747.14541987,6590919.2287842449,33399901.50135806 
 06/01  20:00:00,76115453.81087952,76115453.81087952,7567293.894243988,33399901.50135806 
 06/01  21:00:00,78227221.45434927,78227221.45434927,7625873.53771374,33399901.50135806 
 06/01  22:00:00,55114869.78752096,55114869.78752096,7625873.53771374,33399901.50135806 
 06/01  23:00:00,55987034.00136347,55987034.00136347,7625873.53771374,33399901.50135806 
 06/01  24:00:00,56423116.10828476,56423116.10828476,7625873.53771374,33399901.50135806 
 06/02  01:00:00,87073141.954802,87073141.954802,7625873.53771374,44533202.00181081 
 06/02  02:00:00,86905141.954802,86905141.954802,7625873.53771374,44533202.00181081 
 06/02  03:00:00,86899141.954802,86899141.954802,7625873.53771374,44533202.00181081 
 06/02  04:00:00,86893141.954802,86893141.954802,7625873.53771374,44533202.00181081 
 06/02  05:00:00,81422476.79570712,81422476.79570712,7391411.3786188079,44533202.00181081 
 06/02  06:00:00,83602824.16608359,83602824.16608359,12466695.748995169,44533202.00181081 
 06/02  07:00:00,93879593.15251132,93879593.15251132,10422134.858921607,55180531.87831209 
 06/02  08:00:00,160098344.5963616,160098344.59636159,31041441.28463835,95796493.41677362 
 06/02  09:00:00,332956863.04708579,332956863.04708579,93124323.85391505,204227663.7591696 
 06/02  10:00:00,302919708.8507969,302919708.8507968,93124323.85391505,174055806.61631225 
 06/02  11:00:00,296354123.52248159,296354123.52248159,93124323.85391505,167093070.3525762 
 06/02  12:00:00,303800042.9815319,303800042.9815319,93124323.85391505,174055806.61631225 
 06/02  13:00:00,307723857.87107738,307723857.87107738,93124323.85391505,177667514.30607493 
 06/02  14:00:00,310173134.740197,310173134.740197,93124323.85391505,179858086.83609239 
 06/02  15:00:00,297129706.2592273,297129706.2592272,93124323.85391505,167093070.3525762 
 06/02  16:00:00,296911706.86285689,296911706.8628568,93133991.36789204,167093070.3525762 
 06/02  17:00:00,308200093.8342452,308200093.8342452,93559746.61659938,177537174.74818046 
 06/02  18:00:00,228143761.89775459,228143761.89775456,52740507.402017209,140923939.57316477 
 06/02  19:00:00,135451111.50038255,135451111.50038255,34330025.61889131,69106004.40578471 
 06/02  20:00:00,138752359.95576046,138752359.95576046,39225532.42591783,59822356.054136309 
 06/02  21:00:00,128589901.4255753,128589901.42557532,26303943.895732464,59822356.054136309 
 06/02  22:00:00,119525922.1893221,119525922.1893221,26303943.895732464,55180531.87831209 
 06/02  23:00:00,106667950.24145606,106667950.24145606,13151971.947866232,55180531.87831209 
 06/02  24:00:00,100037964.26752292,100037964.26752292,6575985.973933116,55180531.87831209 
