Program Version:,EnergyPlus, Version 9.3.0-baff08990c, YMD=2021.06.28 21:25
,High-Temperature Geothermal*,0.00,
,Solar Water Thermal,0.00,
,Solar Air Thermal,0.00,
,Total On-Site Thermal Sources,0.00,


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,-
,Condensate Collection,0.00,-
,Groundwater Well,0.00,-
,Total On Site Water Sources,0.00,-
,-,-,-
,Initial Storage,0.00,-
,Final Storage,0.00,-
,Change in Storage,0.00,-
,-,-,-
,Water Supplied by Utility,0.00,-
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,0.00,-
,Total Water End Uses,0.00,-


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,0.20
,Tolerance for Zone Cooling Setpoint Not Met Time,0.20


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,1.48
,Time Setpoint Not Met During Occupied Cooling,0.02
,Time Not Comfortable Based on Simple ASHRAE 55-2004,1.98


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 9.3.0-baff08990c, YMD=2021.06.28 21:25
,RunPeriod,RUNPERIOD 1
,Weather File,Chicago Ohare Intl Ap IL USA TMY3 WMO#=725300
,Latitude [deg],41.98
,Longitude [deg],-87.9
,Elevation [m],201.00
,Time Zone,-6.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],48.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1977.67,593.30,395.53,593.30,395.53
,Above Ground Wall Area [m2],1977.67,593.30,395.53,593.30,395.53
,Window Opening Area [m2],652.61,195.78,130.53,195.78,130.53
,Gross Window-Wall Ratio [%],33.00,33.00,33.00,33.00,33.00
,Above Ground Window-Wall Ratio [%],33.00,33.00,33.00,33.00,33.00


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1369.16,410.75,273.83,410.75,273.83
,Above Ground Wall Area [m2],1369.16,410.75,273.83,410.75,273.83
,Window Opening Area [m2],652.61,195.78,130.53,195.78,130.53
,Gross Window-Wall Ratio [%],47.67,47.66,47.67,47.66,47.67
,Above Ground Window-Wall Ratio [%],47.67,47.66,47.67,47.66,47.67


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],1660.73
,Skylight Area [m2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Above Ground Gross Wall Area [m2],Underground Gross Wall Area [m2],Window Glass Area [m2],Opening Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,CORE_BOTTOM,983.54,Yes,Yes,2698.04,1.00,0.00,0.00,0.00,0.00,8.5035,18.58,40.8445
,TOPFLOOR_PLENUM,1660.73,No,No,2024.76,1.00,202.84,0.00,0.00,0.00,0.0000,,0.0000
,MIDFLOOR_PLENUM,1660.73,No,No,2024.76,1.00,202.84,0.00,0.00,0.00,0.0000,,0.0000
,FIRSTFLOOR_PLENUM,1660.73,No,No,2024.76,1.00,202.84,0.00,0.00,0.00,0.0000,,0.0000
,CORE_MID,983.54,Yes,Yes,2698.04,1.00,0.00,0.00,0.00,0.00,8.5035,18.58,8.0700
,CORE_TOP,983.54,Yes,Yes,2698.04,1.00,0.00,0.00,0.00,0.00,8.5035,18.58,8.0700
,PERIMETER_TOP_ZN_3,207.34,Yes,Yes,568.77,1.00,136.92,0.00,65.26,65.26,8.5035,18.58,8.0700
,PERIMETER_TOP_ZN_2,131.26,Yes,Yes,360.08,1.00,91.28,0.00,43.51,43.51,8.5035,18.58,8.0695
,PERIMETER_TOP_ZN_1,207.34,Yes,Yes,568.77,1.00,136.92,0.00,65.26,65.26,8.5035,18.58,8.0699
,PERIMETER_TOP_ZN_4,131.25,Yes,Yes,360.05,1.00,91.28,0.00,43.51,43.51,8.5035,18.58,8.0700
,PERIMETER_BOT_ZN_3,207.34,Yes,Yes,568.77,1.00,136.92,0.00,65.26,65.26,8.5035,18.58,8.0700
,PERIMETER_BOT_ZN_2,131.26,Yes,Yes,360.08,1.00,91.28,0.00,43.51,43.51,8.5035,18.58,8.0695
,PERIMETER_BOT_ZN_1,207.34,Yes,Yes,568.77,1.00,136.92,0.00,65.26,65.26,8.5035,18.58,8.0699
,PERIMETER_BOT_ZN_4,131.25,Yes,Yes,360.05,1.00,91.28,0.00,43.51,43.51,8.5035,18.58,8.0700
,PERIMETER_MID_ZN_3,207.34,Yes,Yes,568.77,1.00,136.92,0.00,65.26,65.26,8.5035,18.58,8.0700
,PERIMETER_MID_ZN_2,131.26,Yes,Yes,360.08,1.00,91.28,0.00,43.51,43.51,8.5035,18.58,8.0695
,PERIMETER_MID_ZN_1,207.34,Yes,Yes,568.77,1.00,136.92,0.00,65.26,65.26,8.5035,18.58,8.0699
,PERIMETER_MID_ZN_4,131.25,Yes,Yes,360.05,1.00,91.28,0.00,43.51,43.51,8.5035,18.58,8.0700
,Total,4982.19,,,13667.13,,1369.16,0.00,652.61,652.61,8.5035,18.58,14.5400
,Conditioned Total,4982.19,,,13667.13,,1369.16,0.00,652.61,652.61,8.5035,18.58,14.5400
,Unconditioned Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,
,Not Part of Total,4982.19,,,6074.28,,608.51,0.00,0.00,0.00,0.0000,,0.0000


----------------------------------------------------------------------------------------------------
REPORT:,Climatic Data Summary
FOR:,Entire Facility
SizingPeriod:DesignDay

,,Maximum Dry Bulb [C],Daily Temperature Range [deltaC],Humidity Value,Humidity Type,Wind Speed [m/s],Wind Direction
,ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB,-6.30,0.00,-6.30,Wetbulb [C],5.30,320.00
,ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB,34.40,9.50,23.50,Wetbulb [C],4.00,300.00


Weather Statistics File

,,Value
,Reference,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3
,Site:Location,Chicago Ohare Intl Ap IL USA
,Latitude,{N 41� 58'}
,Longitude,{W  87� 55'}
,Time Zone,{GMT -6.0 Hours}
,Elevation (m) above sea level,201
,Standard Pressure at Elevation,98934Pa
,Data Source,TMY3
,WMO Station,725300
,Weather File Design Conditions,Climate Design Data 2009 ASHRAE Handbook
,Heating Design Temperature 99.6% (C),-20°
,Heating Design Temperature 99% (C),-16.6°
,Cooling Design Temperature 0.4% (C),33.3°
,Cooling Design Temperature 1% (C),31.6°
,Cooling Design Temperature 2% (C),30.1°
,Maximum Dry Bulb Temperature (C),35.0°
,Maximum Dry Bulb Occurs on,Jul 19
,Minimum Dry Bulb Temperature (C),-22.8°
,Minimum Dry Bulb Occurs on,Jan  7
,Maximum Dew Point Temperature (C),25.6°
,Maximum Dew Point Occurs on,Aug  4
,Minimum Dew Point Temperature (C),-28.3°
,Minimum Dew Point Occurs on,Jan 27
,ASHRAE Handbook 2009  Cooling Degree-Days (base 10°C),1689
,Weather File Cooling Degree-Days (base 10°C),1743
,ASHRAE Handbook 2009 Heating Degree-Days (base 18.3°C),3506
,Weather File Heating Degree-Days (base 18°C),3430
,Köppen Classification,Dfa
,Köppen Description,Humid continental (hot summer, cold winter, no dry season, lat. 30-60�N)
,Köppen Recommendation,Unbearably humid periods in summer, but passive cooling is possible
,ASHRAE Climate Zone,5A
,ASHRAE Description,Cool-Humid


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

,,Construction,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg],Cardinal Direction
,CORE_BOT_ZN_5_FLOOR,EXT_SLAB_8IN_WITH_CARPET_RAD,0.30,2.150,3.300,983.54,983.54,0.00,180.00,
,PERIMETER_TOP_PLENUM_WALL_NORTH,NONRES_EXT_WALL,0.30,0.437,0.468,60.85,60.85,0.00,90.00,N
,PERIMETER_TOP_PLENUM_WALL_EAST,NONRES_EXT_WALL,0.30,0.437,0.468,40.57,40.57,90.00,90.00,E
,PERIMETER_TOP_PLENUM_WALL_SOUTH,NONRES_EXT_WALL,0.30,0.437,0.468,60.85,60.85,180.00,90.00,S
,PERIMETER_TOP_PLENUM_WALL_WEST,NONRES_EXT_WALL,0.30,0.437,0.468,40.57,40.57,270.00,90.00,W
,BUILDING_ROOF,NONRES_ROOF,0.55,0.221,0.228,1660.73,1660.73,0.00,0.00,
,PERIMETER_MID_PLENUM_WALL_NORTH,NONRES_EXT_WALL,0.30,0.437,0.468,60.85,60.85,0.00,90.00,N
,PERIMETER_MID_PLENUM_WALL_EAST,NONRES_EXT_WALL,0.30,0.437,0.468,40.57,40.57,90.00,90.00,E
,PERIMETER_MID_PLENUM_WALL_SOUTH,NONRES_EXT_WALL,0.30,0.437,0.468,60.85,60.85,180.00,90.00,S
,PERIMETER_MID_PLENUM_WALL_WEST,NONRES_EXT_WALL,0.30,0.437,0.468,40.57,40.57,270.00,90.00,W
,PERIMETER_BOT_PLENUM_WALL_NORTH,NONRES_EXT_WALL,0.30,0.437,0.468,60.85,60.85,0.00,90.00,N
,PERIMETER_BOT_PLENUM_WALL_EAST,NONRES_EXT_WALL,0.30,0.437,0.468,40.57,40.57,90.00,90.00,E
,PERIMETER_BOT_PLENUM_WALL_SOUTH,NONRES_EXT_WALL,0.30,0.437,0.468,60.85,60.85,180.00,90.00,S
,PERIMETER_BOT_PLENUM_WALL_WEST,NONRES_EXT_WALL,0.30,0.437,0.468,40.57,40.57,270.00,90.00,W
,PERIMETER_TOP_ZN_3_WALL_NORTH,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,136.92,71.65,0.00,90.00,N
,PERIMETER_TOP_ZN_2_WALL_EAST,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,91.28,47.77,90.00,90.00,E
,PERIMETER_TOP_ZN_1_WALL_SOUTH,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,136.92,71.65,180.00,90.00,S
,PERIMETER_TOP_ZN_4_WALL_WEST,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,91.28,47.77,270.00,90.00,W
,PERIMETER_BOT_ZN_3_WALL_NORTH,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,136.92,67.76,0.00,90.00,N
,PERIMETER_BOT_ZN_3_FLOOR,EXT_SLAB_8IN_WITH_CARPET,0.30,2.144,3.285,207.34,207.34,0.00,180.00,
,PERIMETER_BOT_ZN_2_WALL_EAST,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,91.28,45.82,90.00,90.00,E
,PERIMETER_BOT_ZN_2_FLOOR,EXT_SLAB_8IN_WITH_CARPET,0.30,2.144,3.285,131.26,131.26,90.00,180.00,
,PERIMETER_BOT_ZN_1_WALL_SOUTH,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,136.92,67.76,180.00,90.00,S
,PERIMETER_BOT_ZN_1_FLOOR,EXT_SLAB_8IN_WITH_CARPET,0.30,2.144,3.285,207.34,207.34,180.00,180.00,
,PERIMETER_BOT_ZN_4_WALL_WEST,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,91.28,45.82,270.00,90.00,W
,PERIMETER_BOT_ZN_4_FLOOR,EXT_SLAB_8IN_WITH_CARPET,0.30,2.144,3.285,131.25,131.25,270.00,180.00,
,PERIMETER_MID_ZN_3_WALL_NORTH,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,136.92,71.65,0.00,90.00,N
,PERIMETER_MID_ZN_2_WALL_EAST,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,91.28,47.77,90.00,90.00,E
,PERIMETER_MID_ZN_1_WALL_SOUTH,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,136.92,71.65,180.00,90.00,S
,PERIMETER_MID_ZN_4_WALL_WEST,NONRES_EXT_WALL_RAD,0.30,0.437,0.468,91.28,47.77,270.00,90.00,W


Exterior Fenestration

,,Construction,Glass Area [m2],Frame Area [m2],Divider Area [m2],Area of One Opening [m2],Area of Multiplied Openings [m2],Glass U-Factor [W/m2-K],Glass SHGC,Glass Visible Transmittance,Frame Conductance [W/m2-K],Divider Conductance [W/m2-K],Shade Control,Parent Surface,Azimuth [deg],Tilt [deg],Cardinal Direction
,PERIMETER_TOP_ZN_3_WALL_NORTH_WINDOW,WINDOW_U_0.51_SHGC_0.25,65.26,0.00,0.00,65.26,65.26,2.898,0.241,0.312,,,No,PERIMETER_TOP_ZN_3_WALL_NORTH,0.00,90.00,N
,PERIMETER_TOP_ZN_2_WALL_EAST_WINDOW,WINDOW_U_0.51_SHGC_0.25,43.51,0.00,0.00,43.51,43.51,2.898,0.241,0.312,,,No,PERIMETER_TOP_ZN_2_WALL_EAST,90.00,90.00,E
,PERIMETER_TOP_ZN_1_WALL_SOUTH_WINDOW,WINDOW_U_0.51_SHGC_0.25,65.26,0.00,0.00,65.26,65.26,2.898,0.241,0.312,,,No,PERIMETER_TOP_ZN_1_WALL_SOUTH,180.00,90.00,S
,PERIMETER_TOP_ZN_4_WALL_WEST_WINDOW,WINDOW_U_0.51_SHGC_0.25,43.51,0.00,0.00,43.51,43.51,2.898,0.241,0.312,,,No,PERIMETER_TOP_ZN_4_WALL_WEST,270.00,90.00,W
,PERIMETER_BOT_ZN_3_WALL_NORTH_WINDOW1,WINDOW_U_0.51_SHGC_0.25,21.75,0.00,0.00,21.75,21.75,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_3_WALL_NORTH,0.00,90.00,N
,PERIMETER_BOT_ZN_3_WALL_NORTH_WINDOW2,WINDOW_U_0.51_SHGC_0.25,21.75,0.00,0.00,21.75,21.75,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_3_WALL_NORTH,0.00,90.00,N
,PERIMETER_BOT_ZN_3_WALL_NORTH_WINDOW3,WINDOW_U_0.51_SHGC_0.25,21.75,0.00,0.00,21.75,21.75,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_3_WALL_NORTH,0.00,90.00,N
,PERIMETER_BOT_ZN_2_WALL_EAST_WINDOW1,WINDOW_U_0.51_SHGC_0.25,41.86,0.00,0.00,41.86,41.86,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_2_WALL_EAST,90.00,90.00,E
,PERIMETER_BOT_ZN_2_WALL_EAST_WINDOW2,WINDOW_U_0.51_SHGC_0.25,1.65,0.00,0.00,1.65,1.65,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_2_WALL_EAST,90.00,90.00,E
,PERIMETER_BOT_ZN_1_WALL_SOUTH_WINDOW1,WINDOW_U_0.51_SHGC_0.25,21.75,0.00,0.00,21.75,21.75,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_1_WALL_SOUTH,180.00,90.00,S
,PERIMETER_BOT_ZN_1_WALL_SOUTH_WINDOW2,WINDOW_U_0.51_SHGC_0.25,21.75,0.00,0.00,21.75,21.75,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_1_WALL_SOUTH,180.00,90.00,S
,PERIMETER_BOT_ZN_1_WALL_SOUTH_WINDOW3,WINDOW_U_0.51_SHGC_0.25,21.75,0.00,0.00,21.75,21.75,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_1_WALL_SOUTH,180.00,90.00,S
,PERIMETER_BOT_ZN_4_WALL_WEST_WINDOW1,WINDOW_U_0.51_SHGC_0.25,41.86,0.00,0.00,41.86,41.86,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_4_WALL_WEST,270.00,90.00,W
,PERIMETER_BOT_ZN_4_WALL_WEST_WINDOW2,WINDOW_U_0.51_SHGC_0.25,1.65,0.00,0.00,1.65,1.65,2.898,0.241,0.312,,,No,PERIMETER_BOT_ZN_4_WALL_WEST,270.00,90.00,W
,PERIMETER_MID_ZN_3_WALL_NORTH_WINDOW,WINDOW_U_0.51_SHGC_0.25,65.26,0.00,0.00,65.26,65.26,2.898,0.241,0.312,,,No,PERIMETER_MID_ZN_3_WALL_NORTH,0.00,90.00,N
,PERIMETER_MID_ZN_2_WALL_EAST_WINDOW,WINDOW_U_0.51_SHGC_0.25,43.51,0.00,0.00,43.51,43.51,2.898,0.241,0.312,,,No,PERIMETER_MID_ZN_2_WALL_EAST,90.00,90.00,E
,PERIMETER_MID_ZN_1_WALL_SOUTH_WINDOW,WINDOW_U_0.51_SHGC_0.25,65.26,0.00,0.00,65.26,65.26,2.898,0.241,0.312,,,No,PERIMETER_MID_ZN_1_WALL_SOUTH,180.00,90.00,S
,PERIMETER_MID_ZN_4_WALL_WEST_WINDOW,WINDOW_U_0.51_SHGC_0.25,43.51,0.00,0.00,43.51,43.51,2.898,0.241,0.312,,,No,PERIMETER_MID_ZN_4_WALL_WEST,270.00,90.00,W
,Total or Average,,,,,,652.61,2.898,0.241,0.312,,,,,,,
,North Total or Average,,,,,,195.78,2.898,0.241,0.312,,,,,,,
,Non-North Total or Average,,,,,,456.83,2.898,0.241,0.312,,,,,,,


Interior Fenestration

,,Construction,Area of One Opening [m2],Area of Openings [m2],Glass U-Factor [W/m2-K],Glass SHGC,Glass Visible Transmittance,Parent Surface
,Total or Average,,,0.00,-,-,-,


Exterior Door

,,Construction,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Parent Surface
,PERIMETER_BOT_ZN_3_WALL_NORTH_DOOR1,SWINGING DOOR_CON,1.598,2.101,1.95,PERIMETER_BOT_ZN_3_WALL_NORTH
,PERIMETER_BOT_ZN_3_WALL_NORTH_DOOR2,SWINGING DOOR_CON,1.598,2.101,1.95,PERIMETER_BOT_ZN_3_WALL_NORTH
,PERIMETER_BOT_ZN_2_WALL_EAST_DOOR,SWINGING DOOR_CON,1.598,2.101,1.95,PERIMETER_BOT_ZN_2_WALL_EAST
,PERIMETER_BOT_ZN_1_WALL_SOUTH_DOOR1,SWINGING DOOR_CON,1.598,2.101,1.95,PERIMETER_BOT_ZN_1_WALL_SOUTH
,PERIMETER_BOT_ZN_1_WALL_SOUTH_DOOR2,SWINGING DOOR_CON,1.598,2.101,1.95,PERIMETER_BOT_ZN_1_WALL_SOUTH
,PERIMETER_BOT_ZN_4_WALL_WEST_DOOR,SWINGING DOOR_CON,1.598,2.101,1.95,PERIMETER_BOT_ZN_4_WALL_WEST


----------------------------------------------------------------------------------------------------
REPORT:,Equipment Summary
FOR:,Entire Facility
Central Plant

,,Type,Nominal Capacity [W],Nominal Efficiency [W/W],IPLV in SI Units [W/W],IPLV in IP Units [Btu/W-h]
,None,,,,,


Cooling Coils

,,Type,Design Coil Load [W],Nominal Total Capacity [W],Nominal Sensible Capacity [W],Nominal Latent Capacity [W],Nominal Sensible Heat Ratio,Nominal Efficiency [W/W],Nominal Coil UA Value [W/C],Nominal Coil Surface Area [m2]
,DOAS COOLING COIL,Coil:Cooling:Water,569601.49,491594.31,319383.29,172211.02,0.65,-,63651.54,645.59
Nominal values are gross at rated conditions, i.e., the supply air fan heat and electric power NOT accounted for.


DX Cooling Coils

,,DX Cooling Coil Type,Standard Rated Net Cooling Capacity [W],Standard Rated Net COP [W/W],EER [Btu/W-h],SEER [Btu/W-h],IEER [Btu/W-h]
,None,,,,,,


DX Cooling Coil ASHRAE 127 Standard Ratings Report

,,DX Cooling Coil Type,Rated Net Cooling Capacity Test A [W],Rated Electric Power Test A [W],Rated Net Cooling Capacity Test B [W],Rated Electric Power Test B [W],Rated Net Cooling Capacity Test C [W],Rated Electric Power Test C [W],Rated Net Cooling Capacity Test D [W],Rated Electric Power Test D [W]
,None,,,,,,,,,


DX Heating Coils

,,DX Heating Coil Type,High Temperature Heating (net) Rating Capacity [W],Low Temperature Heating (net) Rating Capacity [W],HSPF [Btu/W-h],Region Number
,None,,,,,


Heating Coils

,,Type,Design Coil Load [W],Nominal Total Capacity [W],Nominal Efficiency [W/W]
,DOAS HEATING COIL,Coil:Heating:Water,347812.01,258956.66,-
Nominal values are gross at rated conditions, i.e., the supply air fan heat and electric power NOT accounted for.


Fans

,,Type,Total Efficiency [W/W],Delta Pressure [pa],Max Air Flow Rate [m3/s],Rated Electric Power [W],Rated Power Per Max Air Flow Rate [W-s/m3],Motor Heat In Air Fraction,Fan Energy Index,End Use Subcategory,Design Day Name for Fan Sizing Peak,Date/Time for Fan Sizing Peak
,DOAS SUPPLY FAN,Fan:VariableVolume,0.70,1000.00,15.91,22730.30,1428.57,1.00,1.30,General,ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB,7/21 07:20:00


Pumps

,,Type,Control,Head [pa],Water Flow [m3/s],Electric Power [W],Power Per Water Flow Rate [W-s/m3],Motor Efficiency [W/W],End Use Subcategory
,CHILLED WATER LOOP CHW SUPPLY PUMP,Pump:ConstantSpeed,Intermittent,179352.00,0.028056,7168.04,255487.18,0.90,General
,HOT WATER LOOP HW SUPPLY PUMP,Pump:ConstantSpeed,Intermittent,179352.00,0.015396,3933.47,255487.18,0.90,General


Service Water Heating

,,Type,Storage Volume [m3],Input [W],Thermal Efficiency [W/W],Recovery Efficiency [W/W],Energy Factor
,None,,,,,,


----------------------------------------------------------------------------------------------------
REPORT:,MONTHLY INDOOR TEMP
FOR:,CORE_BOTTOM
Custom Monthly Report

,,ZONE MEAN AIR TEMPERATURE [C],SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-,-
,February,-,-
,March,-,-
,April,-,-
,May,-,-
,June,23.20,19.15
,July,-,-
,August,-,-
,September,-,-
,October,-,-
,November,-,-
,December,-,-
,,,
,Annual Sum or Average,23.20,19.15
,Minimum of Months,23.20,19.15
,Maximum of Months,23.20,19.15


----------------------------------------------------------------------------------------------------
REPORT:,MONTHLY INDOOR TEMP
FOR:,TOPFLOOR_PLENUM
Custom Monthly Report

,,ZONE MEAN AIR TEMPERATURE [C],SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-,-
,February,-,-
,March,-,-
,April,-,-
,May,-,-
,June,23.02,19.15
,July,-,-
