Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 07/01  14:00:00,22.6207506309674,22.242805667560917,21.183686828947356,22.435832317891916,22.021230477332208,100.0,100.0,100.0,100.0,100.0,19877.99099173153,5380743.578620627 
 07/01  15:00:00,22.880152678702513,22.319094870005264,21.265553240961155,22.69464466710202,22.08787216114611,100.0,100.0,100.0,100.0,100.0,20509.48271032509,5380743.578620627 
 07/01  16:00:00,23.301217179408839,22.30927965085165,21.360124784165284,23.15809238474428,22.11124171005002,100.0,100.0,100.0,100.0,100.0,20879.810581451315,5380743.578620627 
 07/01  17:00:00,23.583473368451288,22.25070702822927,21.406275429044738,23.497481001297044,22.110421170383018,100.0,100.0,100.0,100.0,100.0,20990.27085668997,5380743.578620627 
 07/01  18:00:00,23.042905910272169,21.851957376098065,21.25071989267168,22.98784471861519,21.749607324648986,100.0,100.0,100.0,100.0,100.0,18784.313481651792,5380743.578620627 
 07/01  19:00:00,22.316189433625938,21.484662654700647,20.96022894526649,22.28909360422319,21.419176466082815,100.0,100.0,40.0,100.0,100.0,15490.377232209104,5380743.578620627 
 07/01  20:00:00,21.778601281799895,21.241808850604689,20.69760927255329,21.772659950249098,21.19783974282614,100.0,100.0,0.0,100.0,100.0,12717.626814013758,5380743.578620627 
 07/01  21:00:00,21.243120079119998,20.94725433514428,20.480501793314799,21.240612308630675,20.915015181492956,100.0,30.0,0.0,100.0,20.0,8116.905345515162,5380743.578620627 
 07/01  22:00:00,21.51360625432323,21.4358170411267,21.09605916848821,21.515903811616217,21.41293600929901,100.0,95.0,70.0,100.0,92.5,6919.1878621219589,5380743.578620627 
 07/01  23:00:00,21.482782150072027,21.5826948580289,21.29282565303971,21.492873511454119,21.565207121626988,100.0,100.0,100.0,100.0,100.0,7278.206885562504,5380743.578620627 
 07/01  24:00:00,21.34732244019811,21.50658467219506,21.239513857232209,21.35546007866594,21.493436331272187,100.0,100.0,100.0,100.0,100.0,7271.363855793401,5380743.578620627 
 07/02  01:00:00,21.192709245687764,21.388275504810577,21.145361685707309,21.20068857767018,21.385318225312486,100.0,100.0,100.0,100.0,100.0,7271.363855793401,5380743.578620627 
 07/02  02:00:00,21.048335002814324,21.278168040968497,21.044441659788988,21.056006714734037,21.279270075502077,100.0,100.0,100.0,100.0,100.0,7271.363855793401,5380743.578620627 
 07/02  03:00:00,20.99053278314672,21.217444786735738,20.97238501439074,20.995665484484254,21.221155504401769,30.0,100.0,5.0,40.0,100.0,5961.723461973174,5380743.578620627 
 07/02  04:00:00,20.960924491395006,21.15924005283021,20.946850929318324,20.96211615304331,21.166551649785285,0.0,100.0,0.0,0.0,100.0,5181.901424099832,5380743.578620627 
 07/02  05:00:00,20.90830882267568,21.06926128213572,20.91733887996343,20.911046207810537,21.08278806821065,0.0,100.0,0.0,0.0,100.0,5071.627141566973,5380743.578620627 
 07/02  06:00:00,20.911884856422796,21.01060658267831,20.89333515450537,20.915910017549185,21.026766981891265,0.0,80.0,0.0,0.0,100.0,4397.665565416564,5380743.578620627 
 07/02  07:00:00,20.99400284248349,21.014944087839714,20.91281942777088,21.020159261209615,21.02311832102217,40.0,50.0,0.0,55.0,100.0,4709.497572560915,5380743.578620627 
 07/02  08:00:00,20.28451087971236,20.164402777942919,20.14767448946346,20.326252532771464,20.154956190277966,5.0,5.0,0.0,5.0,2.5,7581.750580343626,5380743.578620627 
 07/02  09:00:00,20.918582440434855,20.70572856706001,20.12106611206285,20.9620544380369,20.697492553529139,45.0,5.0,0.0,50.0,0.0,8302.754267288723,5380743.578620627 
 07/02  10:00:00,21.527704848910977,21.258660760054867,20.374660087834284,21.526057967929824,21.210239908499376,100.0,100.0,0.0,100.0,100.0,14103.340976320766,5380743.578620627 
 07/02  11:00:00,22.064228137859226,21.685690712507787,20.662336493045577,21.99964803734254,21.571169003908648,100.0,100.0,0.0,100.0,100.0,16455.589539061293,5380743.578620627 
 07/02  12:00:00,22.336508268217118,21.9376595204181,20.910747595734667,22.214255313357329,21.764306654635275,100.0,100.0,5.0,100.0,100.0,17552.988780981388,5380743.578620627 
 07/02  13:00:00,22.48261807821688,22.096997839115415,21.089405866107059,22.313999858612655,21.875087700883538,100.0,100.0,100.0,100.0,100.0,18791.15046655674,5380743.578620627 
 07/02  14:00:00,22.63908187698227,22.20481166063876,21.175702247193934,22.4390361237825,21.944392948987326,100.0,100.0,100.0,100.0,100.0,18897.551738233808,5380743.578620627 
 07/02  15:00:00,22.88210500160851,22.294846121454265,21.266791047704606,22.693132084319225,22.040094420637709,100.0,100.0,100.0,100.0,100.0,19690.82559408246,5380743.578620627 
 07/02  16:00:00,23.256721492536515,22.297640698682036,21.351361487428137,23.1032381837124,22.069839484860638,100.0,100.0,100.0,100.0,100.0,19209.562009294368,5380743.578620627 
 07/02  17:00:00,23.045639712060909,22.116168503155497,21.287500418883547,22.94583170904629,21.94685799547065,100.0,100.0,100.0,100.0,100.0,17261.329339837022,5380743.578620627 
 07/02  18:00:00,22.246761458650739,21.56550036115201,21.00164508826746,22.182959449235278,21.4458645568223,100.0,100.0,55.0,100.0,100.0,14193.177885524801,5380743.578620627 
 07/02  19:00:00,21.655546256722866,21.20547856577974,20.728286212083785,21.61713869137385,21.121642211397015,100.0,100.0,0.0,100.0,100.0,11909.642928833073,5380743.578620627 
 07/02  20:00:00,21.30907152410446,21.015432709862574,20.507953295821268,21.291870461376918,20.95535948159019,100.0,65.0,0.0,100.0,20.0,9397.357364389381,5380743.578620627 
 07/02  21:00:00,20.941760494517817,20.781428581289494,20.306165834984289,20.928203179350889,20.74945552724489,30.0,0.0,0.0,25.0,0.0,7363.756067666478,5380743.578620627 
 07/02  22:00:00,21.395967879004286,21.370071648946273,20.99222190810756,21.39340872443541,21.35790300659454,95.0,90.0,55.0,95.0,87.5,6652.7553624921479,5111706.399689595 
 07/02  23:00:00,21.47655954830763,21.570363911309394,21.25054832282167,21.48184533149012,21.57110247197564,100.0,100.0,100.0,100.0,100.0,7291.209945264442,5380743.578620627 
 07/02  24:00:00,21.358972338762976,21.50739723975446,21.226932301587678,21.36545717805519,21.513543036765538,100.0,100.0,100.0,100.0,100.0,7259.5575461185339,5380743.578620627 
 07/03  01:00:00,21.217958285935859,21.410095409382018,21.153911388390705,21.225232073169747,21.42030478590587,100.0,100.0,100.0,100.0,100.0,7246.372988862681,5380743.578620627 
 07/03  02:00:00,21.16226057272169,21.357638360787456,21.085183424897318,21.167555497211088,21.368692872787237,100.0,100.0,100.0,100.0,100.0,7246.372988862681,5380743.578620627 
 07/03  03:00:00,21.096803436363115,21.301064634877485,21.02093503071049,21.10362459082311,21.31570807738344,100.0,100.0,85.0,100.0,100.0,7224.912554247328,5380743.578620627 
 07/03  04:00:00,21.039703253813827,21.247403558468194,20.9681524437253,21.04460484605652,21.262251528246588,100.0,100.0,0.0,100.0,100.0,7009.057313511587,5380743.578620627 
 07/03  05:00:00,20.965026051865189,21.18252139031885,20.94627776400999,20.97125941022756,21.200401505596543,25.0,100.0,0.0,30.0,100.0,5763.64600290899,5380743.578620627 
 07/03  06:00:00,20.88720793850444,21.091290673958626,20.922104372043628,20.897065413988487,21.112608479176946,0.0,100.0,0.0,0.0,100.0,5152.14889900344,5380743.578620627 
 07/03  07:00:00,20.955181613989376,21.071787137908698,20.93318523159903,20.987974479462677,21.092188344823858,20.0,100.0,0.0,35.0,100.0,5843.433450581556,5380743.578620627 
 07/03  08:00:00,20.223233535417366,20.163111834558039,20.146470049387824,20.289636671670814,20.18197501035312,2.5,5.0,0.0,5.0,5.0,7934.595349649602,5380743.578620627 
 07/03  09:00:00,20.826914640923925,20.683358828251316,20.119857523188999,20.91289595514468,20.735538944343284,30.0,0.0,0.0,40.0,10.0,8512.661952198625,5380743.578620627 
 07/03  10:00:00,21.46051079933617,21.243296881967909,20.362895510656935,21.503314216055764,21.266363617316107,100.0,100.0,0.0,100.0,100.0,14041.374831059653,5380743.578620627 
 07/03  11:00:00,21.78701698862201,21.53296290459432,20.60908971354435,21.766137459674753,21.493579923437584,100.0,100.0,0.0,100.0,100.0,15505.20878288832,5380743.578620627 
 07/03  12:00:00,22.044702972549066,21.744794247013674,20.787873630067979,21.95625994862565,21.63437581575604,100.0,100.0,0.0,100.0,100.0,16418.500283796184,5380743.578620627 
 07/03  13:00:00,22.285253544951666,21.9702341865057,21.018710544844006,22.158960196236884,21.822940697364279,100.0,100.0,50.0,100.0,100.0,17785.386415926485,5380743.578620627 
 07/03  14:00:00,22.464185949825866,22.122290036295959,21.17005624520059,22.312714057613058,21.942769835871954,100.0,100.0,100.0,100.0,100.0,19395.067036658602,5380743.578620627 
 07/03  15:00:00,22.679561341992938,22.169198130260989,21.201678754752469,22.51472669165744,21.963534641560665,100.0,100.0,100.0,100.0,100.0,19483.182798080627,5380743.578620627 
 07/03  16:00:00,22.847398280939055,22.108737274755997,21.227602443892829,22.71328124010681,21.925254963674257,100.0,100.0,100.0,100.0,100.0,17486.07848476257,5380743.578620627 
 07/03  17:00:00,22.750208997104378,21.889785924990947,21.159024176185019,22.664365228941536,21.75779536731593,100.0,100.0,100.0,100.0,100.0,15247.167677329926,5380743.578620627 
 07/03  18:00:00,22.13711249478849,21.437241165459679,20.926137533290665,22.085028894146736,21.34808948516157,100.0,100.0,30.0,100.0,100.0,13616.470036465795,5380743.578620627 
 07/03  19:00:00,21.644412983061224,21.149328692112705,20.692703036746964,21.614224224883029,21.086095668072326,100.0,100.0,0.0,100.0,100.0,12670.60966158802,5380743.578620627 
 07/03  20:00:00,21.325016774299486,20.980117214898806,20.494194673284139,21.31551818999657,20.942063502128876,100.0,45.0,0.0,100.0,15.0,9896.806911638023,5380743.578620627 
 07/03  21:00:00,20.914474196449825,20.729672144913097,20.290848148509136,20.9138890574788,20.717173353348519,25.0,0.0,0.0,25.0,0.0,7650.203748741862,5380743.578620627 
 07/03  22:00:00,21.40048278773515,21.34700962038713,20.988626008551344,21.410980193429635,21.35030010497496,90.0,87.5,55.0,90.0,87.5,6681.217793444883,4842669.220758564 
 07/03  23:00:00,21.52113406620918,21.586790911639793,21.26827942755641,21.5363935821594,21.597541031792529,100.0,100.0,100.0,100.0,100.0,7495.081876231734,5380743.578620627 
 07/03  24:00:00,21.365735629743843,21.506823366686825,21.243569791131955,21.381446808826554,21.52277247854021,100.0,100.0,100.0,100.0,100.0,7363.426260588989,5380743.578620627 
 07/04  01:00:00,21.22558878971406,21.40661494951393,21.16154424739377,21.242665725589516,21.42697639402694,100.0,100.0,100.0,100.0,100.0,7365.069463123878,5380743.578620627 
