Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  23:00:00,113365039.78309216,113365039.78309216,13151971.947866232,55180531.87831209 
 07/21  24:00:00,105709053.80915903,105709053.80915903,6575985.973933116,55180531.87831209 
 07/22  01:00:00,92300231.49643843,92300231.49643843,7625873.53771374,44533202.00181081 
 07/22  02:00:00,92138231.49643843,92138231.49643842,7625873.53771374,44533202.00181081 
 07/22  03:00:00,92018231.49643843,92018231.49643842,7625873.53771374,44533202.00181081 
 07/22  04:00:00,79717801.03293437,79717801.03293437,7625873.53771374,44533202.00181081 
 07/22  05:00:00,74657621.67314108,74657621.67314108,7625873.53771374,44533202.00181081 
 07/22  06:00:00,86853141.68197425,86853141.68197425,15056426.378815612,44533202.00181081 
 07/22  07:00:00,100235273.89495217,100235273.89495217,11022726.0597262,55180531.87831209 
 07/22  08:00:00,256909414.47071518,256909414.47071518,31156695.92976554,95796493.41677362 
 07/22  09:00:00,429230018.0640903,429230018.0640903,93124323.85391505,204227663.7591696 
 07/22  10:00:00,388838036.9504955,388838036.9504955,93124323.85391505,174055806.61631225 
 07/22  11:00:00,375281884.70626738,375281884.70626738,93124323.85391505,167093070.3525762 
 07/22  12:00:00,382244620.97000339,382244620.97000339,93124323.85391505,174055806.61631225 
 07/22  13:00:00,385856328.65976598,385856328.65976598,93124323.85391505,177667514.30607493 
 07/22  14:00:00,388046901.18978378,388046901.18978378,93124323.85391505,179858086.83609239 
 07/22  15:00:00,375281884.70626738,375281884.70626738,93124323.85391505,167093070.3525762 
 07/22  16:00:00,375281884.70626738,375281884.70626738,93124323.85391505,167093070.3525762 
 07/22  17:00:00,385880669.3255041,385880669.3255041,93279004.07754724,177537174.74818046 
 07/22  18:00:00,313715740.6102592,313715740.6102592,53337699.883656579,140923939.57316477 
 07/22  19:00:00,236520130.77748508,236520130.77748508,34840095.92069393,69106004.40578471 
 07/22  20:00:00,235470232.4077134,235470232.40771345,38990947.902570959,59822356.054136309 
 07/22  21:00:00,230420850.4008754,230420850.4008754,26303943.895732464,59822356.054136309 
 07/22  22:00:00,112256306.93330838,112256306.93330838,26303943.895732464,55180531.87831209 
 07/22  23:00:00,101604716.93546416,101604716.93546416,13151971.947866232,55180531.87831209 
 07/22  24:00:00,99414892.38534513,99414892.38534513,6575985.973933116,55180531.87831209 
