Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),HP_RADSYS:Heat Pump Electric Power [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 07/23  20:00:00,34.95180054831923,33.578929463612599,33.25428623762544,34.21409817822966,32.7269136177053,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/23  21:00:00,34.45806902281247,33.336246991315018,33.03051624412077,33.73506765685499,32.52284999534924,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/23  22:00:00,34.26169928052805,33.2352918444621,32.88341586132897,33.54388906944024,32.438110468243589,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/23  23:00:00,34.10838433932686,33.15103012249878,32.77890056979349,33.4024648137803,32.36954031673166,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/23  24:00:00,33.96559573970936,33.06682826445679,32.69411321465841,33.272830062384958,32.303060973580979,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  01:00:00,33.82919511274531,32.98405104316787,32.62070942645606,33.150491212547517,32.23912233637498,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  02:00:00,33.67391376203504,32.88252352007764,32.542890893821887,33.010704664294809,32.15899854682938,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  03:00:00,33.483777275231897,32.754424601582147,32.4634604033236,32.837404957107839,32.05449799491933,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  04:00:00,33.30436249850188,32.628457425306617,32.38853902447012,32.673551546660338,31.95373003216493,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  05:00:00,33.171657960215757,32.53440135224234,32.31354442173448,32.55370462930918,31.87874366915212,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  06:00:00,33.109689753120587,32.47684844140797,32.25956601959637,32.50960014113032,31.829765238602695,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  07:00:00,29.067015670480637,29.32140128625544,30.171616342369693,28.842597105080097,28.87776925295596,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  08:00:00,27.8112204207226,28.420216056342896,29.259661080937446,27.7087920244633,28.07994896782039,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  09:00:00,27.02757024392625,27.874562837848737,28.665916970169179,26.959512920034287,27.56861080468555,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  10:00:00,26.35348619316155,27.364079796050043,28.152769117962504,26.317119077993636,27.098936460341969,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  11:00:00,25.790036476545347,26.928583096049409,27.679643683253006,25.74872795496389,26.667048989424587,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  12:00:00,25.303900476824635,26.553321755927035,27.222040520671169,25.215364931543684,26.24299835121885,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  13:00:00,24.807043834831434,26.136366777339867,26.749943320691228,24.68499805237806,25.78743011041404,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  14:00:00,24.32453753356362,25.66560011485605,26.255787216226318,24.200355639863564,25.31060815387378,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  15:00:00,24.02486837325751,25.095948643000957,25.717708696756274,24.001165648645679,24.76095463178427,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  16:00:00,23.999486756683767,24.317966329198144,25.05168752646258,23.999514527240089,24.124361475041736,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  17:00:00,23.999662700460588,23.99974999613249,24.399863458160597,23.999680787531657,23.9997732578858,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  18:00:00,23.991051687158256,23.999788765770388,24.010848748954368,23.98165049456582,23.99980151686527,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  19:00:00,23.697859504929757,23.999363623372799,23.995476187114375,23.6716172553254,23.999489387326233,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 07/24  20:00:00,23.14976500494668,23.733773470373984,23.726229825156986,23.15169931483916,23.753993285747389,80.0,100.0,100.0,80.0,100.0,0.0,0.0 
 07/24  21:00:00,23.63617029954492,24.389700450731405,24.4306153012247,23.65990843366378,24.467445085932657,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  22:00:00,23.72366017789138,24.60269238663833,24.604732854393775,23.764946179112969,24.73046732732227,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  23:00:00,23.64281473541407,24.560244385776565,24.559948377668218,23.69341440261772,24.7038329006588,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  24:00:00,23.636138662884599,24.552402072155095,24.509539855890187,23.6987857229543,24.69266875558203,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  01:00:00,23.599408044187976,24.519796658989379,24.462307078854843,23.66465865904853,24.66056111384192,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  02:00:00,23.598052251111534,24.505287500713693,24.42412611490885,23.661124421563657,24.64626538083223,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  03:00:00,23.612279878260787,24.498191713180228,24.394019855933995,23.67434091661513,24.64041957162292,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  04:00:00,23.611616037386847,24.48076789112837,24.36329719479812,23.676684990563815,24.6271442981292,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  05:00:00,23.56301163340678,24.444002968956519,24.329780059708989,23.634196191605694,24.59594137024028,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  06:00:00,23.58286183679407,24.43780155719296,24.31384133900637,23.655707235896608,24.59017653145248,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
