Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  24:00:00,-6.300000000000007,16.010203303875249,0.0,0.1612900272,0.026316486781921338,0.13497354041807867,30.076089548252374,27.033276474608888,40.84761443154918,12.92878363827891,12.92878363827891 
 07/21  01:00:00,26.32025,20.398511189010756,9177.34452961849,0.5467642243600003,0.3111601831153966,0.2356040412446035,9.998990532917237,14.003956115265093,28.938372316382276,6.8834496140372709,10.935546075580218 
 07/21  02:00:00,25.84683333333334,20.27182992424639,8998.715738667881,0.5467642243600003,0.314345604067233,0.232418620292767,10.105275947519269,14.032411180176322,28.985522487157718,7.119586882741276,11.093854465602853 
 07/21  03:00:00,25.515125,20.171588314298505,8847.5612415892,0.5467642243600003,0.3158600258976439,0.23090419846235619,10.189071421254239,14.050333906076299,29.051342324353546,7.284739011941208,11.193134977854136 
 07/21  04:00:00,25.230124999999995,20.08603517440484,8711.80555165163,0.5467642243600003,0.31712361016811987,0.2296406141918802,10.26051555935174,14.062609195670577,29.11828294667907,7.425962837837838,11.275190919497735 
 07/21  05:00:00,24.993416666666673,20.01112015698529,8589.41192183179,0.5467642243600003,0.31793921776675579,0.22882500659324435,10.323108865317586,14.071853458430076,29.184530755519256,7.544027675604871,11.33990755888917 
 07/21  06:00:00,24.996583333333335,19.956175526771124,8498.809331537701,0.5467642243600003,0.3143819624174197,0.2323822619425802,10.369501140285204,14.078752658072182,29.311001393256189,7.545573915632699,11.301961349779827 
 07/21  07:00:00,25.42804166666666,20.339234503048325,9091.51497274972,0.5467642243600003,0.3281426959241193,0.21862152843588066,10.057482986330358,14.025060063574149,30.12970280118399,7.335703317964299,11.35041209128612 
 07/21  08:00:00,26.575958333333334,20.59731484496972,9431.78396438934,0.5467642243600003,0.3199543301148464,0.22680989424515347,9.840043289633768,13.955828616207935,30.180979946952666,6.840959799294429,11.003873537114514 
 07/21  09:00:00,28.287541666666664,20.970831918444753,10020.56730148332,0.5467642243600003,0.33551700230675599,0.21124722205324407,9.529972186737727,13.90223338663849,30.180979946952666,6.699999999999995,11.119384730425553 
 07/21  10:00:00,29.995958333333328,21.428698756664156,10764.689421640905,0.5467642243600003,0.36292888966399358,0.18383533469600636,9.150273639665894,13.846619117633582,30.180979946952666,6.699999999999993,11.443463033160749 
 07/21  11:00:00,31.514374999999995,22.076962849862949,11854.501128214539,0.5467642243600003,0.40280846694749958,0.1439557574125005,8.612553932391048,13.783422957888672,30.180979946952666,6.699999999999993,11.917978121211242 
 07/21  12:00:00,32.697916666666667,22.787556433572655,13054.691874283248,0.5467642243600003,0.44796385994003876,0.09880036441996128,8.01956410582058,13.71282502922122,30.180979946952666,6.701327052547016,12.445939332363201 
 07/21  13:00:00,33.55133333333333,23.367106291859384,13569.519576793786,0.5467642243600003,0.5338927787792981,0.01287144558070222,7.778568529759762,13.695880714168995,30.180979946952666,7.54281920943367,13.538478162594446 
 07/21  14:00:00,34.16645833333333,23.76515220651448,13496.698738228935,0.5467642243600003,0.5467642243600003,0.0,7.948760416264225,13.834652834681057,30.180979946952666,7.867687534004657,13.834652834681057 
 07/21  15:00:00,34.40000000000004,23.901047048013955,13492.862718822978,0.5467642243600003,0.5467642243600003,0.0,8.090535530701136,13.975033554996778,30.180979946952666,8.009480170587312,13.975033554996778 
 07/21  16:00:00,34.110250000000018,23.731660227610683,13483.8588145985,0.5467642243600003,0.5467642243600003,0.0,8.14416939282659,14.024845944619456,30.180979946952666,8.063146233985119,14.024845944619456 
 07/21  17:00:00,33.44366666666667,23.337563634323275,13474.880681650415,0.5467642243600003,0.5467642243600003,0.0,8.073261874136647,13.949883722857568,30.180979946952666,7.9922662057053339,13.949883722857568 
 07/21  18:00:00,32.58708333333333,22.860318076402437,13268.08926477549,0.5467642243600003,0.5108923814554438,0.0358718429045564,8.00175296995538,13.788049408729967,30.180979946952666,7.479270800059104,13.339741146758234 
 07/21  19:00:00,31.395624999999997,22.36219960046794,12278.957219227495,0.5467642243600003,0.4211791833074425,0.1255850410525577,8.35793862630016,13.71350212161602,30.180979946952666,6.700000003232973,12.102668589562305 
 07/21  20:00:00,30.16379166666667,21.949275404843399,11523.043997173429,0.5467642243600003,0.3945801562153907,0.15218406814460928,8.704084458775407,13.730534002337129,30.180979946952666,6.699999999999993,11.773560078934298 
 07/21  21:00:00,29.215374999999999,21.60840094899975,10963.67294545199,0.5467642243600003,0.3734516295626783,0.17331259479732179,8.988820159677893,13.771722527283315,30.180979946952666,6.699999999999993,11.530017382409577 
 07/21  22:00:00,28.360375,21.34867650610748,10556.092622261796,0.5467642243600003,0.35770240000472966,0.1890618243552705,9.206314063353665,13.811744613259787,30.180979946952666,6.699999999999993,11.35254898684661 
 07/21  23:00:00,27.60195833333334,20.81402507551475,9717.24652953078,0.5467642243600003,0.32619088771681606,0.22057333664318394,9.646909348439467,13.88698767733634,28.783268237164397,6.699999999999993,10.98720369999133 
