Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 1 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change State 3 [](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 3 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 10 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 15 [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 07/01  24:00:00,17.20000000000002,23.450000000000029,0.0,23.428841071065564,22.92793281476844,20.74834899139737,21.067593232805917,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
 07/02  01:00:00,17.20000000000002,23.450000000000029,0.0,23.429103043545955,22.86499329777388,19.88036524886136,20.717165525382634,13499.429471680278,0.5467642243600003,0.5467642243600003,0.0,13.087917757979044,18.984244618351697,11.968092409460722,13.015240564449006,18.984244618351697 
 07/02  02:00:00,17.20000000000002,23.450000000000029,0.0,23.42691057882936,22.63784631901975,18.76370785252699,20.159037737852846,13449.548218144166,0.5467642243600003,0.5467642243600003,0.0,12.054315578065541,17.92711914721955,11.968092409460722,11.981852360735188,17.92711914721955 
 07/02  03:00:00,17.20000000000002,23.450000000000029,0.0,23.421974884068946,22.519963727069876,18.33440410830361,19.81561867442861,13350.608268481552,0.5467642243600003,0.5467642243600003,0.0,11.532511347671557,17.36124198350058,11.968092409460722,11.468889817643781,17.361241983500578 
 07/02  04:00:00,17.20000000000002,23.450000000000029,0.0,23.417430973842177,22.45069500382116,18.026789442245428,19.53984395722875,12544.537010264357,0.5467642243600003,0.5467642243600003,0.0,11.454347762802997,16.93103290792711,11.968092409460722,11.407207207207199,16.93103290792711 
 07/02  05:00:00,17.20000000000002,23.450000000000029,0.0,23.413802475667816,22.37240852453829,17.4993116473294,19.300920000844508,11521.54453393143,0.5467642243600003,0.5467642243600003,0.0,11.454350461898294,16.48441827119551,11.968092409460722,11.407207207207197,16.48441827119551 
 07/02  06:00:00,17.505,23.450000000000029,0.0,23.410103881776505,22.212412373991186,16.426010139801567,19.109526338932086,10185.380479298707,0.5467642243600003,0.5467642243600003,0.0,11.30813338265647,15.754677711599245,11.968092409460722,11.26098797489658,15.754677711599245 
 07/02  07:00:00,17.79999999999998,23.450000000000029,0.0,23.404791906451057,22.00365564600684,15.384171516569506,18.961242453360378,8666.800130361114,0.5467642243600003,0.5408687839617045,0.005895440398295469,11.198001897863824,14.98146860843531,11.968092409460722,11.109957971049362,14.940571783543712 
 07/02  08:00:00,18.054166666666668,23.450000000000029,0.0,23.398340462653456,21.863849913349225,14.872350148427154,18.745466631903505,7457.252639563262,0.5467642243600003,0.49547020325502436,0.05129402110497564,11.377358263341542,14.632968155459539,19.033595400703456,10.988060549651055,14.29081996587097 
 07/02  09:00:00,18.859166666666668,23.450000000000029,0.0,23.392750136907194,21.79692294978157,14.636833191609793,19.923643787541228,8599.566425310919,0.5467642243600003,0.543312473526464,0.0034517508335363399,10.664543197632545,14.418077912631507,30.059171727698009,10.594133620542227,14.394804896725724 
 07/02  10:00:00,19.705,23.450000000000029,0.0,23.388740559325347,21.751205760638578,14.45017801723865,20.493437023270038,9242.001524294494,0.5467642243600003,0.5467642243600003,0.0,10.218115755406468,14.251552736998283,30.059171727698009,10.170985996895493,14.251552736998283 
 07/02  11:00:00,20.559166666666667,23.450000000000029,0.0,23.38590299682265,21.718835395793879,14.318561691775589,20.848691556935536,9908.934953251306,0.5467642243600003,0.5467642243600003,0.0,9.798924425388297,14.122861392167968,30.059171727698009,9.751799288389793,14.122861392167968 
 07/02  12:00:00,21.964166666666669,23.450000000000029,0.0,23.383877090686565,21.690857599212785,14.182848437044877,21.441362546300306,11057.424003090748,0.5467642243600003,0.5413272153918669,0.005437008968133106,9.158701173089418,13.982767946413203,30.059171727698009,9.060575061983665,13.931759254093312 
 07/02  13:00:00,23.359166666666668,23.450000000000029,0.0,23.382317259484386,21.662842643972465,14.0374301724358,22.200541426826399,12190.081288897849,0.5467642243600003,0.5369524891156066,0.00981173524439355,8.509573221378652,13.826640934381349,29.868906865443269,8.364500013091409,13.72867520201094 
 07/02  14:00:00,23.900000000000018,23.450000000000029,0.0,23.380980528664997,21.63518595261957,13.917421272261566,22.28326481647363,12174.654396906482,0.5467642243600003,0.5184612878843234,0.028302936475676403,8.426995190759744,13.737192909607188,30.05444483522763,8.087475499476382,13.444779395325444 
 07/02  15:00:00,23.900000000000018,23.450000000000029,0.0,23.379834572241586,21.620768546525068,13.871462001642316,22.09974058771571,11739.44085278501,0.5467642243600003,0.5033760024058578,0.043388221954142148,8.579836128192416,13.700467944817895,30.068709401953297,8.08738738738738,13.255127784964559 
 07/02  16:00:00,23.34083333333334,23.450000000000029,0.0,23.3790116646212,21.613525576699649,13.854271455666181,21.721354638848543,11015.177259170765,0.5467642243600003,0.4967205879915086,0.05004363636849145,8.892217276936187,13.69743044972759,30.068709401953297,8.35545597995687,13.207782647740622 
 07/02  17:00:00,22.799999999999974,23.450000000000029,0.0,23.378492334493964,21.613938945833288,13.87950907893009,21.307791284670907,10304.900283969147,0.5467642243600003,0.48684390841921745,0.0599203159407827,9.238813855320528,13.734701653033998,29.363688637591208,8.632344320343432,13.17535106643275 
 07/02  18:00:00,22.240833333333339,23.450000000000029,0.0,23.378268511609727,21.6183759225862,13.901278576442158,20.928536690482539,9616.658672221527,0.5467642243600003,0.478551138463655,0.06821308589634498,9.551922763766452,13.74797282840453,30.204989825946677,8.900501025001918,13.143674965722307 
 07/02  19:00:00,21.140833333333334,23.450000000000029,0.0,23.378235061729887,21.625784437221527,13.989188692064666,19.682968951359805,7601.749960279583,0.5467642243600003,0.4129913766138575,0.13377284774614249,10.579600000138593,13.897518552572901,30.93043275989871,9.445457957957958,12.81051525106395 
 07/02  20:00:00,19.430833333333334,23.450000000000029,0.0,23.37848308017555,21.655733125370874,14.17798582463948,18.949549916763226,6607.173427848335,0.5467642243600003,0.42294841476579556,0.12381580959420455,11.200085755955062,14.084426722960443,30.689184459754466,10.282941467624255,13.214429564780144 
 07/02  21:00:00,17.486666666666669,23.450000000000029,0.0,23.37920094943589,21.6856278938033,14.321204862461958,18.44051271324519,5924.123353040101,0.5467642243600003,0.4875270558108145,0.0592371685491857,11.62671912139918,14.213194147808516,30.023840493506289,11.251895880622586,13.885523799152372 
 07/02  22:00:00,16.395000000000004,23.450000000000029,0.0,23.380109662441446,21.707892363508443,14.421253071888124,18.109436187508036,5485.647684057177,0.5467642243600003,0.5340013355389716,0.01276288882102844,11.907512011080323,14.302742692429597,30.08839878067604,11.801046024227033,14.243433370109769 
 07/02  23:00:00,15.540833333333332,23.450000000000029,0.0,23.380993671462293,21.739589677020267,14.710055544224027,18.00091926126776,2768.359103134573,0.26426937510733347,0.26426937510733347,0.0,12.177939678902737,13.386799520326388,30.10877278363319,12.131682378285568,13.36333518275727 
 07/02  24:00:00,14.695000000000002,23.450000000000029,0.0,23.382366149351449,21.828288442278145,15.242548739661157,17.998477702933394,2920.5910088487919,0.23693116388933345,0.23693116388933345,0.0,12.247157908319199,13.522517104542708,30.10877278363319,12.199999999929477,13.495794286345955 
