Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  22:00:00,509257993.35098418,509257993.35098418,152517470.7542746,224813060.55296675 
 07/21  23:00:00,509257993.35098418,509257993.35098418,152517470.7542746,224813060.55296675 
 07/21  24:00:00,510344138.68876656,510344138.68876656,152517470.7542746,224813060.55296675 
 07/01  01:00:00,61438502.88045609,61438502.88045609,7625873.53771374,44533202.00181081 
 07/01  02:00:00,70362564.79834587,70362564.79834587,7625873.53771374,44533202.00181081 
 07/01  03:00:00,69866783.58068528,69866783.58068528,7625873.53771374,44533202.00181081 
 07/01  04:00:00,74340814.53963013,74340814.53963013,7625873.53771374,44533202.00181081 
 07/01  05:00:00,73881033.32196972,73881033.32196972,7625873.53771374,44533202.00181081 
 07/01  06:00:00,85562703.9689142,85562703.9689142,14835019.70208967,44533202.00181081 
 07/01  07:00:00,99390332.92072059,99390332.92072059,10806640.641844433,55180531.87831209 
 07/01  08:00:00,262942884.31839074,262942884.31839074,31270023.132256438,95796493.41677362 
 07/01  09:00:00,433598964.3857819,433598964.3857819,93124323.85391505,204227663.7591696 
 07/01  10:00:00,388071072.51396897,388071072.51397,93124323.85391505,174055806.61631225 
 07/01  11:00:00,381108336.25023356,381108336.25023356,93124323.85391505,167093070.3525762 
 07/01  12:00:00,388071072.51396897,388071072.51397,93124323.85391505,174055806.61631225 
 07/01  13:00:00,391994780.2037322,391994780.2037322,93124323.85391505,177667514.30607493 
 07/01  14:00:00,393885352.7337494,393885352.7337494,93124323.85391505,179858086.83609239 
 07/01  15:00:00,381108336.25023356,381108336.25023356,93124323.85391505,167093070.3525762 
 07/01  16:00:00,381118003.7642106,381118003.7642106,93133991.36789204,167093070.3525762 
 07/01  17:00:00,392732686.7893968,392732686.7893968,94304569.99747429,177537174.74818046 
 07/01  18:00:00,314712578.1359779,314712578.1359779,52897696.51907077,140923939.57316477 
 07/01  19:00:00,234673519.90546377,234673519.90546374,33000511.074774714,69106004.40578471 
 07/01  20:00:00,239334401.95689006,239334401.95688979,38899677.792273219,59822356.054136309 
 07/01  21:00:00,235569942.060349,235569942.06034897,26303943.895732464,59822356.054136309 
 07/01  22:00:00,112926724.50286173,112926724.50286173,26303943.895732464,55180531.87831209 
 07/01  23:00:00,110090184.22674246,110090184.22674246,13151971.947866232,55180531.87831209 
 07/01  24:00:00,93908355.11725895,93908355.11725895,6575985.973933116,55180531.87831209 
 07/02  01:00:00,61438502.88045609,61438502.88045609,7625873.53771374,44533202.00181081 
 07/02  02:00:00,69866783.58068533,69866783.58068533,7625873.53771374,44533202.00181081 
 07/02  03:00:00,69371002.36302474,69371002.36302474,7625873.53771374,44533202.00181081 
 07/02  04:00:00,72841470.88664852,72841470.88664852,7625873.53771374,44533202.00181081 
 07/02  05:00:00,78790845.49857503,78790845.49857503,7625873.53771374,44533202.00181081 
 07/02  06:00:00,77986931.85968346,77986931.85968346,15251747.07542748,44533202.00181081 
 07/02  07:00:00,98356040.92836914,98356040.92836914,12100348.64949286,55180531.87831209 
 07/02  08:00:00,262753445.6495105,262753445.6495105,31140584.46337594,95796493.41677362 
 07/02  09:00:00,434757109.72356429,434757109.72356429,93124323.85391505,204227663.7591696 
 07/02  10:00:00,404381252.5807072,404381252.5807072,93124323.85391505,174055806.61631225 
 07/02  11:00:00,397128979.9825261,397128979.9825261,93124323.85391505,167093070.3525762 
 07/02  12:00:00,388071072.51396897,388071072.51397,93124323.85391505,174055806.61631225 
 07/02  13:00:00,391796780.2037322,391796780.2037322,93124323.85391505,177667514.30607493 
 07/02  14:00:00,393879352.7337494,393879352.7337494,93124323.85391505,179858086.83609239 
 07/02  15:00:00,381108336.25023356,381108336.25023356,93124323.85391505,167093070.3525762 
 07/02  16:00:00,381108336.25023356,381108336.25023356,93124323.85391505,167093070.3525762 
 07/02  17:00:00,391552440.64583757,391552440.64583757,93124323.85391505,177537174.74818046 
 07/02  18:00:00,313666044.19405046,313666044.19405046,51749162.5771431,140923939.57316477 
 07/02  19:00:00,222935781.9846085,222935781.98460827,31563153.862853268,69106004.40578471 
 07/02  20:00:00,237178374.31917275,237178374.31917275,37421650.15455603,59822356.054136309 
 07/02  21:00:00,234993942.060349,234993942.060349,26303943.895732464,59822356.054136309 
 07/02  22:00:00,121995442.76776983,121995442.7677698,26303943.895732464,55180531.87831209 
 07/02  23:00:00,111242184.22674248,111242184.22674248,13151971.947866232,55180531.87831209 
 07/02  24:00:00,96883042.42322223,96883042.42322223,6575985.973933116,55180531.87831209 
