Low temp setpoint,High temp setpoint,Availability
9.35852036,9.35852036,0
11.9754792,11.9754792,0
11.53330869,11.53330869,0
11.67079197,11.67079197,0
7.00081376,7.00081376,0
7.08575072,7.08575072,0
12.08506729,12.08506729,0
12.83199349,12.83199349,0
11.98675001,11.98675001,0
11.94515355,11.94515355,0
12.05700271,12.05700271,0
12.5559556,12.5559556,0
12.86850055,12.86850055,0
12.43916888,12.43916888,0
12.57422685,12.57422685,0
12.61109635,12.61109635,0
12.77330857,12.77330857,0
12.86207652,12.86207652,0
12.00706014,12.00706014,0
12.50886138,12.50886138,0
12.89107403,12.89107403,0
12.47258374,12.47258374,0
12.92129057,12.92129057,0
11.79345203,11.79345203,0
