Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  11:00:00,388018225.0627886,388018225.06278857,119991185.40467149,224813060.55296675 
 07/21  12:00:00,387911948.34330466,387911948.3433046,119991185.40467149,224813060.55296675 
 07/21  13:00:00,388172529.5891751,388172529.5891751,119991185.40467149,224813060.55296675 
 07/21  14:00:00,389006099.7054793,389006099.7054792,119991185.40467149,224813060.55296675 
 07/21  15:00:00,389443152.34245678,389443152.34245678,119991185.40467149,224813060.55296675 
 07/21  16:00:00,389118332.1566542,389118332.1566542,119991185.40467149,224813060.55296675 
 07/21  17:00:00,388232401.12763389,388232401.1276338,119991185.40467149,224813060.55296675 
 07/21  18:00:00,387824185.43141308,387824185.43141296,120633945.22274417,224813060.55296675 
 07/21  19:00:00,396308557.92661896,396308557.92661896,130861359.31742129,224813060.55296675 
 07/21  20:00:00,424726379.81608369,424726379.81608358,152399856.5668155,224813060.55296675 
 07/21  21:00:00,427983405.35642859,427983405.3564285,152517470.7542746,224813060.55296675 
 07/21  22:00:00,427915238.3264142,427915238.3264141,152517470.7542746,224813060.55296675 
 07/21  23:00:00,424096632.14147326,424096632.14147326,152517470.7542746,224813060.55296675 
 07/21  24:00:00,423922632.14147326,423922632.14147326,152517470.7542746,224813060.55296675 
 06/01  01:00:00,78819853.32476583,78819853.32476583,7625873.53771374,44533202.00181081 
 06/01  02:00:00,69955398.5334814,69955398.5334814,7625873.53771374,44533202.00181081 
 06/01  03:00:00,73761130.56512292,73761130.56512292,7625873.53771374,44533202.00181081 
 06/01  04:00:00,79069737.21200608,79069737.21200608,7625873.53771374,44533202.00181081 
 06/01  05:00:00,66864500.76175459,66864500.76175459,7591463.283306486,44533202.00181081 
 06/01  06:00:00,76423790.94767243,76423790.94767243,13781253.930334909,44533202.00181081 
 06/01  07:00:00,93292005.81279227,93292005.81279227,10642158.404433685,55180531.87831209 
 06/01  08:00:00,159708860.50973103,159708860.50973077,31063997.337583778,95796493.41677362 
 06/01  09:00:00,333954219.4632484,333954219.4632483,93124323.85391505,204227663.7591696 
 06/01  10:00:00,303896458.7239481,303896458.7239481,93124323.85391505,174055806.61631225 
 06/01  11:00:00,296533255.64959618,296533255.6495961,93124323.85391505,167093070.3525762 
 06/01  12:00:00,304083949.4590159,304083949.45901587,93124323.85391505,174055806.61631225 
 06/01  13:00:00,306884427.060563,306884427.06056299,93124323.85391505,177667514.30607493 
 06/01  14:00:00,310934207.8133301,310934207.81333,93124323.85391505,179858086.83609239 
 06/01  15:00:00,298674767.35330328,298674767.3533032,93124323.85391505,167093070.3525762 
 06/01  16:00:00,298993580.3600787,298993580.3600787,93124323.85391505,167093070.3525762 
 06/01  17:00:00,310147433.32806989,310147433.32806989,93312593.52151679,177537174.74818046 
 06/01  18:00:00,229948157.85423366,229948157.85423366,52916249.32147222,140923939.57316477 
 06/01  19:00:00,136616791.00492037,136616791.00492034,34101110.27107747,69106004.40578471 
 06/01  20:00:00,139794096.3747494,139794096.3747494,39152827.48638166,59822356.054136309 
 06/01  21:00:00,117795300.327852,117795300.327852,26303943.895732464,59822356.054136309 
