Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 06/01  14:00:00,316194098.36294767,316194098.36294767,93124323.85391505,179858086.83609239 
 06/01  15:00:00,301564203.8245934,301564203.8245934,93124323.85391505,167093070.3525762 
 06/01  16:00:00,301021179.0224308,301021179.0224307,93329758.52592656,167093070.3525762 
 06/01  17:00:00,317090327.86235329,317090327.86235329,93288671.59152423,177537174.74818046 
 06/01  18:00:00,246090180.50021599,246090180.500216,52386662.10059468,140923939.57316477 
 06/01  19:00:00,126888854.16571465,126888854.16571465,33159750.90035196,69106004.40578471 
 06/01  20:00:00,126339243.55150135,126339243.55150135,39077584.73883936,59822356.054136309 
 06/01  21:00:00,116304119.89227249,116304119.89227249,26303943.895732464,59822356.054136309 
 06/01  22:00:00,113868093.76296996,113868093.76296996,26303943.895732464,55180531.87831209 
 06/01  23:00:00,112656992.23395357,112656992.23395357,13151971.947866232,55180531.87831209 
 06/01  24:00:00,93597369.0039502,93597369.0039502,6575985.973933116,55180531.87831209 
 06/02  01:00:00,61336075.80534603,61336075.80534603,7625873.53771374,44533202.00181081 
 06/02  02:00:00,61372173.71407348,61372173.71407348,7625873.53771374,44533202.00181081 
 06/02  03:00:00,61372173.71407348,61372173.71407348,7625873.53771374,44533202.00181081 
 06/02  04:00:00,61372173.71407348,61372173.71407348,7625873.53771374,44533202.00181081 
 06/02  05:00:00,58363836.0158215,58363836.0158215,7589434.8394617899,44533202.00181081 
 06/02  06:00:00,69929994.12803519,69929994.12803519,13276730.370046407,44533202.00181081 
 06/02  07:00:00,99683281.89630157,99683281.89630157,10428781.610214185,55180531.87831209 
 06/02  08:00:00,169733087.0122376,169733087.0122376,31041441.28463835,95796493.41677362 
 06/02  09:00:00,339081516.4900409,339081516.49004086,93124323.85391505,204227663.7591696 
 06/02  10:00:00,309424735.4175805,309424735.4175804,93124323.85391505,174055806.61631225 
 06/02  11:00:00,301886440.80655369,301886440.80655369,93124323.85391505,167093070.3525762 
 06/02  12:00:00,308995542.7723343,308995542.7723343,93124323.85391505,174055806.61631225 
 06/02  13:00:00,311935026.90674868,311935026.90674868,93124323.85391505,177667514.30607493 
 06/02  14:00:00,316133856.7881101,316133856.78810998,93124323.85391505,179858086.83609239 
 06/02  15:00:00,303290914.2801827,303290914.28018268,93124323.85391505,167093070.3525762 
 06/02  16:00:00,302290501.7369032,302290501.7369031,93310423.49797254,167093070.3525762 
 06/02  17:00:00,312633211.34980186,312633211.34980186,94732856.45941884,177537174.74818046 
 06/02  18:00:00,235502040.31269107,235502040.3126911,54765599.706142019,140923939.57316477 
 06/02  19:00:00,129007029.16085784,129007029.16085784,35127501.62434293,69106004.40578471 
 06/02  20:00:00,126434650.58403515,126434650.58403515,39356933.77137317,59822356.054136309 
 06/02  21:00:00,116508674.70839465,116508674.70839465,26303943.895732464,59822356.054136309 
 06/02  22:00:00,112782560.08852908,112782560.08852908,26303943.895732464,55180531.87831209 
 06/02  23:00:00,112656992.23395357,112656992.23395357,13151971.947866232,55180531.87831209 
 06/02  24:00:00,85455866.44564374,85455866.44564374,6575985.973933116,55180531.87831209 
