Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/02  08:00:00,268633836.8183973,268633836.8183973,31140584.46337594,95796493.41677362 
 07/02  09:00:00,440729643.25375196,440729643.25375196,93124323.85391505,204227663.7591696 
 07/02  10:00:00,410365786.1108949,410365786.1108949,93124323.85391505,174055806.61631225 
 07/02  11:00:00,403100350.3182412,403100350.3182412,93124323.85391505,167093070.3525762 
 07/02  12:00:00,393619814.37586817,393619814.37586817,93124323.85391505,174055806.61631225 
 07/02  13:00:00,397345522.0656314,397345522.0656314,93124323.85391505,177667514.30607493 
 07/02  14:00:00,399428094.5956491,399428094.5956491,93124323.85391505,179858086.83609239 
 07/02  15:00:00,386657078.1121327,386657078.1121327,93124323.85391505,167093070.3525762 
 07/02  16:00:00,386657078.1121327,386657078.1121327,93124323.85391505,167093070.3525762 
 07/02  17:00:00,397101182.50773677,397101182.50773677,93124323.85391505,177537174.74818046 
 07/02  18:00:00,319232786.05594918,319232786.05594918,51749162.5771431,140923939.57316477 
 07/02  19:00:00,228229640.28994764,228229640.28994764,31563153.862853268,69106004.40578471 
 07/02  20:00:00,243156907.8493598,243156907.84935979,37421650.15455603,59822356.054136309 
 07/02  21:00:00,240954475.59053604,240954475.59053604,26303943.895732464,59822356.054136309 
 07/02  22:00:00,122451329.60911317,122451329.60911317,26303943.895732464,55180531.87831209 
 07/02  23:00:00,113480565.61455487,113480565.61455484,13151971.947866232,55180531.87831209 
 07/02  24:00:00,104002845.64950814,104002845.64950814,6575985.973933116,55180531.87831209 
