Date/Time,PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 06/02  09:00:00,20.73284944998976,1839.537593836388,0.39349795201021117,0.16765170153005688,0.2258462504801543,13.83916560589613,14.955835556225042,14.587546305798688,12.200000000000009,13.37130357794461 
 06/02  10:00:00,21.60723881821563,2277.7345059976157,0.39349795201021117,0.20105702111464797,0.19244093089556323,13.459404824341356,14.841928847380299,14.557429434327283,12.028050763708482,13.465202467742328 
 06/02  11:00:00,22.187972247253947,2694.6946558654879,0.39349795201021117,0.16827303431375696,0.22522491769645423,13.208365985621607,14.843857567606714,14.900293094598363,10.85088535047496,12.541000683223638 
 06/02  12:00:00,22.62928524875884,3032.7818660289105,0.39349795201021117,0.14602242845370115,0.24747552355650996,13.019048045786736,14.859635388680263,15.841804889867032,9.752015563517343,11.64722369358601 
 06/02  13:00:00,22.647801897406838,3193.267521428301,0.39349795201021117,0.13351665077040085,0.25998130123981036,13.00613354000332,14.944112935213499,15.571126015150668,9.060575061983665,11.053175042227763 
 06/02  14:00:00,22.648055598961418,3233.0146354367168,0.39349795201021117,0.12287050253144046,0.27062744947877068,13.008426944597087,14.970529842980197,16.446943996210597,8.510719245402039,10.527442764735542 
 06/02  15:00:00,22.569079839300593,3148.4189909217768,0.39349795201021117,0.1313619651915479,0.26213598681866326,13.040586921249984,14.951366628724374,16.1382234090648,9.042711281032057,11.008112112850978 
 06/02  16:00:00,22.252346811011607,2937.9980544270385,0.39349795201021117,0.18526602044702138,0.2082319315631898,13.175138473220749,14.958281728601837,15.773869846247799,10.940799849983529,12.778566335961541 
 06/02  17:00:00,21.899631601290677,2655.7609591670204,0.39349795201021117,0.23953486186646257,0.15396309014374866,13.325545420761582,14.937461129968466,14.976345841563248,12.199599490504545,13.866140784979125 
 06/02  18:00:00,20.889580287968117,2189.8358277618256,0.39349795201021117,0.18907286675015848,0.2044250852600527,13.753901133430875,15.083185036363363,14.976345841563248,12.200000000000009,13.583916195233142 
 06/02  19:00:00,20.271780606030867,1869.4731194295608,0.39349795201021117,0.15826638648341324,0.23523156552679795,14.022990931839838,15.157895691123857,14.976345841563248,12.20000000000001,13.389541265759127 
 06/02  20:00:00,19.983663697528067,1683.6350078458477,0.39349795201021117,0.14264041249001303,0.2508575395201982,14.14832360302306,15.170448276412234,14.976345841563248,12.20000000000001,13.276763142889763 
 06/02  21:00:00,19.78178921541147,1543.2315417834073,0.39349795201021117,0.13129085392161217,0.26220709808859907,14.234956374762202,15.171866263736029,14.976345841563248,12.20000000000001,13.191549715377854 
 06/02  22:00:00,20.347921816601525,1632.8021584797155,0.39349795201021117,0.1475925365649749,0.2459054154452362,13.998930710843718,14.990152564406348,14.976345841563248,12.20000000000001,13.245857983206795 
 06/02  23:00:00,20.190348199819835,1533.2902486883182,0.39349795201021117,0.13900487126901857,0.25449308074119267,14.059156138647412,14.989983690216063,14.976345841563248,12.200000000000009,13.185464624450907 
 06/02  24:00:00,20.047464393162849,1461.678062902157,0.39349795201021117,0.13196878191033654,0.2615291700998746,14.121524066486348,15.00889332282529,14.976345841563248,12.20000000000001,13.142007306007459 
