Date/Time,PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) ,,
 06/02  13:00:00,23.50880728,3893.050438,0.393515492,0.130195396,0.263320096,12.63768045,15,7.693420407,10.11035234,85,
 06/02  14:00:00,23.46989957,3865.01011,0.393515492,0.126636956,0.266878536,12.65468427,15,7.542390403,9.942318781,86,
 06/02  15:00:00,23.10122768,3606.374494,0.393515492,0.118360155,0.275155337,12.81152802,15,7.542342342,9.785429423,87,
 06/02  16:00:00,22.89965107,3462.281888,0.393515492,0.113749088,0.279766404,12.89891543,15,7.542342342,9.698043384,88,
 06/02  17:00:00,22.71587752,3332.449467,0.393515492,0.111787394,0.281728098,12.97765857,15,7.688561575,9.765520711,89,
 06/02  18:00:00,22.08971265,2896.701598,0.393515492,0.101313507,0.292201985,13.24196638,15,7.961440939,9.774096403,90,
 06/02  19:00:00,21.60768346,2552.725842,0.393515492,0.099079589,0.294435902,13.45063487,15,8.623484522,10.22747476,91,
 06/02  20:00:00,21.3169298,2344.805937,0.393515492,0.11080988,0.282705612,13.57677903,15,9.73780831,11.21565636,92,
 06/02  21:00:00,21.09276424,2186.140718,0.393515492,0.131684032,0.261831459,13.67304699,15,10.85307007,12.23465167,93,
 06/02  22:00:00,21.61855684,2546.491897,0.393515492,0.163106458,0.230409034,13.45441777,15,11.13896239,12.73916979,94,
 06/02  23:00:00,21.56063827,2517.695873,0.393515492,0.173939481,0.219576011,13.47188646,15,11.39838746,12.98112644,95,
 06/02  24:00:00,21.35900247,2373.15994,0.393515492,0.184365497,0.209149995,13.55957597,15,11.8058568,13.30090764,96,
