Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),CORE_BOTTOM:Zone Air System Sensible Cooling Rate [W](Hourly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),CORE_MID:Zone Air System Sensible Cooling Rate [W](Hourly),CORE_TOP:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  19:00:00,-6.300000000000007,13.992400235336044,37258.419671560994,0.0,0.0,0.0,33535.924039487334,29579.076757900748,6996.775349867693,7335.24261819009,8786.281431036046,3423.266643601788,6594.751443226261,7401.960122351026,8599.96592959861,7878.884337168695,8199.093976066617,8510.900140334337,10318.090269692377,8926.08974404289,0.0,0.45783033033354678,0.03680899743601413,0.42102133289753299,15.0,11.425028031748484,36.52115630555307,12.20000000000001,12.20000000000001 
 01/21  20:00:00,-6.300000000000007,13.937743942257436,37364.53524817666,0.0,0.0,0.0,33614.885510714266,29662.943197669727,6988.618343879266,7334.710393821834,8780.835740232178,3428.023149377503,6599.0271091201889,7411.5695021268679,8608.02148192486,7890.3853798413479,8192.710205459845,8511.849751116439,10314.457608906045,8928.777340373526,0.0,0.45783033033354678,0.03706816363938798,0.4207621666941591,15.0,11.418736735025867,36.50852222868814,12.20000000000001,12.20000000000001 
 01/21  21:00:00,-6.300000000000007,13.900315859460502,37518.74830063293,0.0,0.0,0.0,33744.34491737088,29786.03353766354,7017.814846378927,7364.300141955203,8816.72049614908,3459.0941802759427,6628.056336411943,7442.5987597952639,8644.556744104188,7923.92680766528,8221.120712578298,8541.267794799402,10349.70838207302,8960.424397577877,0.0,0.45783033033354678,0.0373899137242644,0.42044041660928285,15.0,11.414100743423898,36.50053417694024,12.20000000000001,12.20000000000001 
 01/21  22:00:00,-6.300000000000007,13.865925532017207,37660.864524616634,0.0,0.0,0.0,33871.782968630716,29897.606988112184,7046.790193659487,7392.735522403,8851.714163188455,3488.1294679964528,6656.498474140236,7472.144311985086,8679.868361716733,7955.66449043775,8249.445649539983,8569.566426563806,10384.216551812313,8990.627424274997,0.0,0.45783033033354678,0.03769437716674678,0.4201359531668004,15.0,11.410126597229582,36.494343773940297,12.20000000000001,12.20000000000001 
 01/21  23:00:00,-6.300000000000007,13.836398359737642,37771.339464039826,0.0,0.0,0.0,33977.57925040702,29980.779356230796,7068.684237484576,7413.947068136263,8877.984213346444,3509.5522872559379,6678.947344462078,7495.104158830615,8707.546503179767,7980.2578482483509,8271.071783899686,8590.859816640466,10410.382151577627,9013.299080613553,0.0,0.45783033033354678,0.037947100815771978,0.4198832295177753,15.0,11.406564204270293,36.48910148627441,12.20000000000001,12.20000000000001 
 01/21  24:00:00,-6.300000000000007,13.812679979408897,37846.13996970021,0.0,0.0,0.0,34055.49476154577,30032.311772875724,7081.933124799905,7426.712767383303,8893.84372767734,3522.321145389238,6694.109873295248,7510.401819462679,8726.138521025896,7996.612143727419,8284.524050262718,8604.000888907289,10426.609951116849,9027.288948002031,0.0,0.45783033033354678,0.038135629451623947,0.41969470088192326,15.0,11.40343929119485,36.48465540874902,12.20000000000001,12.20000000000001 
 07/21  01:00:00,26.32025,20.022319067680017,35040.93919472561,0.0,0.0,0.0,22725.784859116313,23597.379744691945,7206.8634723501459,6431.8822658009389,8305.060606358129,7112.943898492578,6331.947827348482,6012.594970917557,7598.79590502127,6753.457909032649,6977.317956701346,6358.886682081954,8090.149785858403,7036.867598083544,0.0,0.0,0.0,0.0,0.0,0.0,28.045259148074626,6.749301801801795,6.749301801801795 
 07/21  02:00:00,25.84683333333334,19.893536208808329,34594.39203683825,0.0,0.0,0.0,22342.962323665484,23212.371768755824,6976.708075363466,6309.859259990238,8020.087074905306,6778.184308262369,6142.654856246815,5793.065007246086,7346.246732361317,6444.407812172822,6750.502954736069,6236.675882136756,7807.471926199957,6853.465155329512,0.0,0.0,0.0,0.0,0.0,0.0,28.103252765240354,6.749301801801795,6.749301801801795 
 07/21  03:00:00,25.515125,19.77860141004012,34269.088004393845,0.0,0.0,0.0,22059.329411777024,22925.819350136426,6792.823569571451,6223.485720229277,7791.606253107795,6512.143136327573,5992.3526321428839,5644.978280049941,7145.165117003022,6298.648480023261,6569.694023427609,6151.151827685196,7581.350983418499,6740.4938223279209,0.0,0.0,0.0,0.0,0.0,0.0,28.183098847343538,6.749301801801795,6.749301801801795 
 07/21  04:00:00,25.230124999999995,19.67657018640083,33988.79634644594,0.0,0.0,0.0,21804.300521639583,22667.878074633914,6631.750180744041,6149.24792883098,7591.41298189945,6285.619875552694,5862.437585108802,5574.876537548925,6971.829299117701,6223.661814027222,6411.390486492163,6078.188599990982,7383.332458226112,6636.157453365136,0.0,0.0,0.0,0.0,0.0,0.0,28.107908224775774,6.749301801801795,6.749301801801795 
