Date/Time,CORE_TOP:Zone Total Internal Total Heating Rate [W](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),CORE_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI4_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Power [W](Hourly) 
 01/02  07:00:00,4245.451607531921,18.897047658662069,18.64940792321586,18.667175115961294,18.422241947436495,18.512522697365577,190.89345000000007,76.56825000000002,57.40899999999999,70.79434999999998,76.0,0.0,0.0 
 01/02  08:00:00,6049.250893545528,18.90152214588934,18.915127932710978,18.918860382037438,18.768258250776318,18.89740197116736,254.52460000000003,57.42618750000001,43.900999999999999,57.81538583333332,65.33333333333333,0.0,0.0 
 01/02  09:00:00,18101.736647504953,19.767639129757055,19.248297868000443,19.722255828968,19.567142465444527,19.140699666474818,4.242076666666667,2.5522750000000005,1.1256666666666669,3.539717499999999,0.0,0.0,0.0 
 01/02  10:00:00,18101.736647504957,20.18502955126649,19.46456113494854,20.167871002960444,20.182059886942314,19.258126136027668,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  11:00:00,18265.019990212222,20.408033815485589,19.77203987095769,20.361212265993875,20.832836474385368,19.562432182260375,0.0,19.1420625,0.0,0.0,0.0,736.6545403380617,656.45078 
 01/02  12:00:00,18101.736647504957,20.5895604074295,20.129217025603,20.540235003237407,21.288117964045964,19.92346633579286,0.0,76.56825000000002,0.0,0.0,0.0,2981.3049246144307,2625.803119999999 
 01/02  13:00:00,14572.507325244462,20.614269852395006,20.34180906043555,20.686347147908355,21.550680329383654,20.17368914626922,0.0,76.56825000000002,0.0,0.0,0.0,3100.230236732914,2625.803119999999 
 01/02  14:00:00,18101.736647504953,21.12009500012804,20.85700360402509,21.003038461846839,21.87131413638855,20.700921633553695,203.61968000000008,76.56825000000002,43.900999999999999,0.0,0.0,9561.788628078319,2625.803119999999 
 01/02  15:00:00,18265.019990212222,21.224815305551237,20.998682702683156,20.993155473291446,22.75595614142457,21.20745069007126,254.52460000000003,76.56825000000002,27.016000000000003,35.397175,48.0,11637.204478167478,2625.803119999999 
 01/02  16:00:00,18101.736647504957,21.261768583359545,20.964796175758818,20.958602868576116,22.629353860055646,21.758183918000709,254.52460000000003,76.56825000000002,23.639000000000004,21.238305,80.0,12486.010806282522,2625.803119999999 
 01/02  17:00:00,18101.736647504957,21.0496033337146,20.71148817493161,20.669898078557908,21.66287130644458,21.167671837628079,178.16722000000005,76.56825000000002,0.0,0.0,56.0,8217.04738071452,2625.803119999999 
 01/02  18:00:00,8609.530172617446,20.096064657323156,19.820738037751906,19.765449837350709,20.356394761964123,19.919368597435559,0.0,3.8284125,0.0,0.0,0.0,123.35812191082417,131.290156 
 01/02  19:00:00,5413.9869089617409,19.530613777852218,19.253291210090869,19.185228826154935,19.577470338973403,19.169797952760196,0.0,0.0,0.0,0.0,8.0,0.0,0.0 
