Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 03/06  06:00:00,82797531.84241112,82797531.84241112,15251747.07542748,44533202.00181081 
 03/06  07:00:00,86995498.85605495,86995498.85605502,12750883.160231444,55180531.87831209 
 03/06  08:00:00,149406825.76240368,149406825.76240368,32142407.14185739,95796493.41677362 
 03/06  09:00:00,338415485.3770556,338415485.3770556,93509386.00462142,204227663.7591696 
 03/06  10:00:00,312860942.0412895,312860942.0412895,93124323.85391505,174055806.61631225 
 03/06  11:00:00,306042205.77755257,306042205.77755257,93124323.85391505,167093070.3525762 
 03/06  12:00:00,313190942.0412895,313190942.0412895,93124323.85391505,174055806.61631225 
 03/06  13:00:00,317096649.73105189,317096649.73105189,93124323.85391505,177667514.30607493 
 03/06  14:00:00,319408870.8154265,319408870.81542649,93124323.85391505,179858086.83609239 
 03/06  15:00:00,306379130.322472,306379130.322472,93124323.85391505,167093070.3525762 
 03/06  16:00:00,306302085.7012626,306302085.7012626,93588203.77762437,167093070.3525762 
 03/06  17:00:00,321171102.750736,321171102.75073608,97977116.43149397,177537174.74818046 
 03/06  18:00:00,257218815.50165678,257218815.50165678,63792454.357429999,140923939.57316477 
 03/06  19:00:00,159758592.4245577,159758592.42455767,39455915.8435987,69106004.40578471 
 03/06  20:00:00,144518256.49739529,144518256.49739529,39455915.8435987,59822356.054136309 
 03/06  21:00:00,117640745.15364117,117640745.15364117,26303943.895732464,59822356.054136309 
 03/06  22:00:00,92786985.64250234,92786985.64250234,26303943.895732464,55180531.87831209 
 03/06  23:00:00,89838598.30140129,89838598.30140129,13151971.947866232,55180531.87831209 
 03/06  24:00:00,82488642.72209509,82488642.72209509,6575985.973933116,55180531.87831209 
 03/07  01:00:00,63060388.19887163,63060388.19887162,7625873.53771374,33399901.50135806 
 03/07  02:00:00,62696378.0673293,62696378.0673293,7625873.53771374,33399901.50135806 
 03/07  03:00:00,64002327.409617718,64002327.409617718,7625873.53771374,33399901.50135806 
 03/07  04:00:00,52788783.32902186,52788783.329021859,7625873.53771374,33399901.50135806 
 03/07  05:00:00,61336428.725040849,61336428.725040849,7625873.53771374,33399901.50135806 
 03/07  06:00:00,64702307.146533098,64702307.146533098,7625873.53771374,33399901.50135806 
 03/07  07:00:00,75728028.47384097,75728028.47384097,13049136.727071193,55180531.87831209 
 03/07  08:00:00,87915893.73489352,87915893.73489352,11482176.600250042,73747828.58160886 
 03/07  09:00:00,118570786.53292285,118570786.53292285,32858757.33273267,85222049.46327478 
 03/07  10:00:00,145970226.85981579,145970226.85981579,31258627.88889564,93345241.770967 
 03/07  11:00:00,147068201.2910269,147068201.2910269,31041441.28463835,89863873.63909899 
 03/07  12:00:00,155191393.59871919,155191393.59871919,31041441.28463835,97987065.9467912 
 03/07  13:00:00,95586080.76298443,95586080.76298443,15520720.642319175,72652542.31660007 
 03/07  14:00:00,78889614.60727088,78889614.60727088,15520720.642319175,63368893.96495164 
 03/07  15:00:00,73087334.38749072,73087334.38749072,15520720.642319175,57566613.74517154 
 03/07  16:00:00,68518982.93455573,68518982.93455574,15594193.365208492,52924789.56934732 
 03/07  17:00:00,76040587.34155752,76040587.34155752,16365574.753727407,54085245.613303299 
 03/07  18:00:00,69261878.84363652,69261878.8436365,6438688.406689378,48348135.17247038 
 03/07  19:00:00,74602470.80485548,74602470.80485548,6575985.973933116,41385398.908734139 
 03/07  20:00:00,59405991.09280244,59405991.09280244,7625873.53771374,33399901.50135806 
 03/07  21:00:00,56666102.539767939,56666102.539767939,7625873.53771374,33399901.50135806 
 03/07  22:00:00,61783889.77737938,61783889.77737937,7625873.53771374,33399901.50135806 
 03/07  23:00:00,64789768.1988716,64789768.19887159,7625873.53771374,33399901.50135806 
 03/07  24:00:00,61607899.90892166,61607899.90892165,7625873.53771374,33399901.50135806 
 03/08  01:00:00,57574580.69817556,57574580.69817556,7625873.53771374,33399901.50135806 
 03/08  02:00:00,63366357.80424465,63366357.804244648,7625873.53771374,33399901.50135806 
 03/08  03:00:00,59896489.514294769,59896489.51429476,7625873.53771374,33399901.50135806 
 03/08  04:00:00,63086378.0673293,63086378.067329298,7625873.53771374,33399901.50135806 
 03/08  05:00:00,62952388.198871579,62952388.198871579,7625873.53771374,33399901.50135806 
 03/08  06:00:00,77318359.35789012,77318359.35789012,6575985.973933116,41385398.908734139 
 03/08  07:00:00,65019234.439398888,65019234.439398888,6356271.055441855,41385398.908734139 
 03/08  08:00:00,49958971.971640948,49958971.971640948,5427704.772956969,41385398.908734139 
 03/08  09:00:00,56344527.19838909,56344527.19838909,5222275.062600507,41385398.908734139 
 03/08  10:00:00,75235767.6395825,75235767.6395825,5173573.547439724,41385398.908734139 
 03/08  11:00:00,75301767.63958252,75301767.63958252,5173573.547439724,41385398.908734139 
