Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),Environment:Site Daylight Saving Time Status [](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call) 
 01/21  01:31:00,-6.3,,18.967053297865463,13.397035583455685,0.0,0.0,13.56589012,13.56589012,20073.00463090545,0.0 
 01/21  01:32:00,-6.3,,18.986133097835,13.396842170515571,0.0,0.0,13.56589012,13.56589012,19877.26735682511,0.0 
 01/21  01:33:00,-6.3,,19.008629721759957,13.396648026419005,0.0,0.0,13.56589012,13.56589012,19629.865223025423,0.0 
 01/21  01:34:00,-6.3,,19.03310328007339,13.396453881990669,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:35:00,-6.3,,19.057388149010298,13.396260476785221,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:36:00,-6.3,,19.079421006916779,13.396068519466505,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:37:00,-6.3,,19.097800976047297,13.395878650558516,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:38:00,-6.3,,19.111878181650086,13.395691410833628,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:39:00,-6.3,,19.121573504223588,13.3955072177592,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:40:00,-6.3,,19.127145230029919,13.395326351140956,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:41:00,-6.3,,19.129007641806085,13.395148947844808,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:42:00,-6.3,,19.12762018155028,13.394975004534406,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:43:00,-6.3,,19.123430030633555,13.394804386817575,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:44:00,-6.3,,19.116846519173277,13.394636843003676,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:45:00,-6.3,,19.108232122929079,13.394472020742667,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:46:00,-6.3,,19.097901509469314,13.394309485040678,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:47:00,-6.3,,19.08612435251897,13.394148736703775,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:48:00,-6.3,,19.073129800069528,13.39398923007305,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:49:00,-6.3,,19.059111498305837,13.393830389673005,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:50:00,-6.3,,19.044232569781977,13.39367162654574,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:51:00,-6.3,,19.028630225320624,13.393512356550037,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:52:00,-6.3,,19.0124198630086,13.393352020666569,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:53:00,-6.3,,18.99569861554942,13.393190106595205,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:54:00,-6.3,,18.979357665140147,13.393026170474372,0.0,0.0,13.56589012,13.56589012,19505.83197858766,0.0 
 01/21  01:55:00,-6.3,,18.965145987284246,13.392859858784807,0.0,0.0,13.56589012,13.56589012,19717.720258654703,0.0 
 01/21  01:56:00,-6.3,,18.95478312063301,13.39269092912782,0.0,0.0,13.56589012,13.56589012,19901.998890088827,0.0 
 01/21  01:57:00,-6.3,,18.949403579848835,13.39251926843756,0.0,0.0,13.56589012,13.56589012,20036.37112281088,0.0 
 01/21  01:58:00,-6.3,,18.949465476778394,13.392344906356211,0.0,0.0,13.56589012,13.56589012,20106.126040105213,0.0 
 01/21  01:59:00,-6.3,,18.954910058683674,13.39216802065951,0.0,0.0,13.56589012,13.56589012,20105.323440891752,0.0 
 01/21  02:00:00,-6.3,0.0,18.965369257266766,13.391988931781253,0.0,0.0,13.56589012,13.56589012,20034.72515458037,0.0 
 01/21  02:01:00,-6.3,,18.980326852148897,13.391808085985046,0.0,0.0,10.35409398,10.35409398,19899.103814135357,0.0 
 01/21  02:02:00,-6.3,,18.99921769561022,13.391626029186007,0.0,0.0,10.35409398,10.35409398,19705.15309681871,0.0 
 01/21  02:03:00,-6.3,,19.02148061436609,13.391443375678904,0.0,0.0,10.35409398,10.35409398,19460.201106280605,0.0 
 01/21  02:04:00,-6.3,,19.045688887792818,13.391260774299703,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:05:00,-6.3,,19.0696955536432,13.39107887345101,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:06:00,-6.3,,19.091455100331033,13.390898286247286,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:07:00,-6.3,,19.10957912557594,13.390719558231404,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:08:00,-6.3,,19.123424118445734,13.390543140258174,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:09:00,-6.3,,19.13291262482573,13.390369368561413,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:10:00,-6.3,,19.138301778232447,13.390198452972307,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:11:00,-6.3,,19.140003369322689,13.39003047317329,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:12:00,-6.3,,19.138473917944137,13.389865382038579,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:13:00,-6.3,,19.134157725524014,13.389703014624902,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:14:00,-6.3,,19.127461494964107,13.389543101202575,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:15:00,-6.3,,19.118745402841478,13.389385282776813,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:16:00,-6.3,,19.108322158343076,13.389229128010417,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:17:00,-6.3,,19.096459799622989,13.389074150230427,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:18:00,-6.3,,19.08338613125126,13.388919825227872,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:19:00,-6.3,,19.06929371152597,13.388765611791829,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:20:00,-6.3,,19.054344792473996,13.388610974721149,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:21:00,-6.3,,19.03867589504663,13.388455409342994,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
 01/21  02:22:00,-6.3,,19.022401874909517,13.388298464895567,0.0,0.0,10.35409398,10.35409398,0.0,0.0 
